"k","deltaD","D_base","D_harmonic","amplitude","phase"
0.5,8.5144557858888,583.273891416929,574.75943563104,19.4115691592591,-0.193664661117225
0.531812725090036,8.50084606065025,583.273891416929,574.773045356279,16.1728455644573,-0.506175466896081
0.563625450180072,8.48646073637394,583.273891416929,574.787430680555,13.6223270370456,-0.81875439362754
0.595438175270108,8.47131190207961,583.273891416929,574.80257951485,11.5862342146509,-1.13140592477806
0.627250900360144,8.45541254808529,583.273891416929,574.818478868844,9.94092328370149,-1.44413461468938
0.65906362545018,8.43877660150156,583.273891416929,574.835114815428,8.59678697157429,-1.75694509278661
0.690876350540216,8.42141896411658,583.273891416929,574.852472452813,7.48780336521652,-2.06984206771073
0.722689075630252,8.40335555280274,583.273891416929,574.870535864126,6.56459764107832,-2.38283033139338
0.754501800720288,8.38460334251283,583.273891416929,574.889288074416,5.78974213208817,-2.6959147630537
0.786314525810324,8.36518041192312,583.273891416929,574.908711005006,5.13451398073466,-3.00910033314194
0.81812725090036,8.34510599184421,583.273891416929,574.928785425085,4.57662087539227,2.96079319997436
0.849939975990396,8.32440051645801,583.273891416929,574.949490900471,4.09858142634487,2.64739005751177
0.881752701080432,8.30308567749898,583.273891416929,574.97080573943,3.68655556960437,2.33387027967532
0.913565426170468,8.28118448145267,583.273891416929,574.992706935476,3.32948905281011,2.02022849338532
0.945378151260504,8.25872130986579,583.273891416929,575.015170107063,3.01848020106969,1.70645921605451
0.97719087635054,8.23572198288412,583.273891416929,575.038169434045,2.74630603492008,1.39255685235863
1.00900360144058,8.21221382609303,583.273891416929,575.061677590836,2.50706400217486,1.07851569121097
1.04081632653061,8.18822574076103,583.273891416929,575.085665676168,2.29589852902003,0.764329902978944
1.07262905162065,8.16378827759081,583.273891416929,575.110103139338,2.10879044744075,0.449993536977318
1.10444177671068,8.1389337140572,583.273891416929,575.134957702872,1.94239348712501,0.135500519285266
1.13625450180072,8.113696135429,583.273891416929,575.1601952815,1.7939063180875,-0.179155349066874
1.16806722689076,8.08811151955422,583.273891416929,575.185779897375,1.66097167716721,-0.493980393485411
1.19987995198079,8.06221782549198,583.273891416929,575.211673591437,1.54159629444584,-0.808981066716202
1.23169267707083,8.03605508605563,583.273891416929,575.237836330874,1.43408691500181,-1.12416394919815
1.26350540216086,8.00966550432997,583.273891416929,575.264225912599,1.3369988648284,-1.43953574879178
1.2953181272509,7.9830935542102,583.273891416929,575.290797862719,1.24909445957788,-1.75510329980413
1.32713085234094,7.95638608499678,583.273891416929,575.317505331932,1.16930918611505,-2.07087356122349
1.35894357743097,7.92959243006021,583.273891416929,575.344298986869,1.09672405957323,-2.38685361406603
1.39075630252101,7.90276451957254,583.273891416929,575.371126897357,1.03054291524315,-2.70305065773181
1.42256902761104,7.87595699727387,583.273891416929,575.397934419655,0.970073665567452,-3.01947200525697
1.45438175270108,7.84922734121938,583.273891416929,575.42466407571,0.914712759749301,2.94706022983854
1.48619447779112,7.82263598841234,583.273891416929,575.451255428517,0.863932243025427,2.63016791216185
1.51800720288115,7.79624646319667,583.273891416929,575.477644953732,0.817268936224996,2.31302873634898
1.54981992797119,7.77012550923382,583.273891416929,575.503765907695,0.774315352496663,1.99563500881476
1.58163265306122,7.74434322483967,583.273891416929,575.529548192089,0.734712043508797,1.67797896720125
1.61344537815126,7.71897320140658,583.273891416929,575.554918215523,0.698141126820917,1.36005279461177
1.6452581032413,7.6940926645533,583.273891416929,575.579798752376,0.664320793151235,1.04184863598102
1.67707082833133,7.66978261759539,583.273891416929,575.604108799334,0.63300062966693,0.723358616757735
1.70888355342137,7.64612798682026,583.273891416929,575.627763430109,0.603957625319697,0.404574864080351
1.7406962785114,7.62321776798171,583.273891416929,575.650673648947,0.57699274825252,0.0854895306264662
1.77250900360144,7.60114517329987,583.273891416929,575.672746243629,0.551928004653562,-0.233905178684292
1.80432172869148,7.58000777815255,583.273891416929,575.693883638777,0.528603904101138,-0.553616976959094
1.83613445378151,7.55990766650552,583.273891416929,575.713983750424,0.506877269182669,-0.873653462408209
1.86794717887155,7.54095157398217,583.273891416929,575.732939842947,0.486619337560663,-1.19402208207818
1.89975990396158,7.52325102731209,583.273891416929,575.750640389617,0.46771411317144,-1.51473009211132
1.93157262905162,7.50692247872212,583.273891416929,575.766968938207,0.450056930240188,-1.83578451443008
1.96338535414166,7.49208743363602,583.273891416929,575.781803983293,0.433553199562961,-2.15719208977727
1.99519807923169,7.47887256982688,583.273891416929,575.795018847102,0.418117311283435,-2.47895922708898
2.02701080432173,7.46740984594487,583.273891416929,575.806481570984,0.403671672354606,-2.80109194922883
2.05882352941176,7.45783659707331,583.273891416929,575.816054819856,0.390145860175321,-3.12359583517575
2.0906362545018,7.45029561469971,583.273891416929,575.823595802229,0.377475876649799,2.8367093483472
2.12244897959184,7.44493520818662,583.273891416929,575.828956208743,0.365603489225034,2.51344848247386
2.15426170468187,7.44190924451243,583.273891416929,575.831982172417,0.354475647402479,2.18980300637008
2.18607442977191,7.44137716271325,583.273891416929,575.832514254216,0.344043964852976,1.86576975793477
2.21788715486194,7.44350395910385,583.273891416929,575.830387457825,0.334264258644729,1.54134635214544
2.24969987995198,7.44846013898712,583.273891416929,575.825431277942,0.325096138263831,1.21653125326866
2.28151260504202,7.45642163017635,583.273891416929,575.817469786753,0.316502638099726,0.891323847279536
2.31332533013205,7.46756965327143,583.273891416929,575.806321763658,0.308449887915249,0.565724513516689
2.34513805522209,7.48209054323911,583.273891416929,575.79180087369,0.300906816544163,0.239734694461556
2.37695078031213,7.50017551647034,583.273891416929,575.773715900459,0.293844884680393,-0.086643037603
2.40876350540216,7.52202037712516,583.273891416929,575.751871039804,0.287237843157179,-0.413404918424183
2.4405762304922,7.54782515624936,583.273891416929,575.72606626068,0.28106151357662,-0.740545935579119
2.47238895558223,7.57779367686669,583.273891416929,575.696097740062,0.275293588550654,-1.06805977980766
2.50420168067227,7.61213303803731,583.273891416929,575.661758378892,0.269913449164791,-1.39593880550108
2.5360144057623,7.6510530107513,583.273891416929,575.622838406178,0.264901997582529,-1.72417400199075
2.56782713085234,7.6947653385198,583.273891416929,575.579126078409,0.260241502979279,-2.05275497725999
2.59963985594238,7.74348293567255,583.273891416929,575.530408481257,0.255915459235334,-2.38166995563233
2.63145258103241,7.79741897668725,583.273891416929,575.476472440242,0.251908453032747,-2.71090579086606
2.66326530612245,7.85678587043367,583.273891416929,575.417105546495,0.248206041195496,-3.04044799590516
2.69507803121249,7.92179411402071,583.273891416929,575.352097302908,0.244794636289094,2.91290451688033
2.72689075630252,7.99265102206277,583.273891416929,575.281240394866,0.241661399658354,2.58279814116723
2.75870348139256,8.0695593286606,583.273891416929,575.204332088269,0.238794141232811,2.25243633518348
2.79051620648259,8.15271566129491,583.273891416929,575.121175755634,0.236181225570067,1.92183828966423
2.82232893157263,8.24230888817419,583.273891416929,575.031582528755,0.233811483740849,1.59102411338648
2.85414165666266,8.33851834343204,583.273891416929,574.935373073497,0.231674130786282,1.26001469407914
2.8859543817527,8.44151193796142,583.273891416929,574.832379478968,0.229758688599722,0.9288315432094
2.91776710684274,8.55144416761095,583.273891416929,574.722447249318,0.228054914202844,0.597496626401851
2.94957983193277,8.66845403497678,583.273891416929,574.605437381952,0.22655273349878,0.26603218165605
2.98139255702281,8.79266290606563,583.273891416929,574.481228510864,0.225242180693976,-0.065539472107698
3.01320528211285,8.92417232862442,583.273891416929,574.349719088305,0.224113343683711,-0.397196133337062
3.04501800720288,9.06306184484026,583.273891416929,574.210829572089,0.22315631579259,-0.72891591989636
3.07683073229292,9.20938683726649,583.273891416929,574.064504579663,0.222361154347821,-1.06067747164151
