"element","sp_num","obs_wl_air(nm)","unc_obs_wl","ritz_wl_air(nm)","unc_ritz_wl","wn(cm-1)","intens","Aki(s^-1)","Acc","Ei(cm-1)","Ek(cm-1)","conf_i","term_i","J_i","conf_k","term_k","J_k","Type","tp_ref","line_ref","","wavenumber_cm","ell","wavenumber_source"
"Ti","2","216.163","","216.161389","0.000010","46246.9","1:","","","9975.9994","56223.205","3d3","a 2P","3/2","3d.(2D).4s.4p.(3P*)","y 4P*","1/2","","","L5432","",46246.9,10.7417497136671,"wn(cm-1)"
"Ti","2","216.12369","0.00007","216.123641","0.000009","46255.271","7","","","30240.9396","76496.2220","3d2.(3F).4p","z 4G*","11/2","3d2.(3P).4d","4F","9/2","","","u37","",46255.271,10.7419307040143,"wn(cm-1)"
"Ti","2","216.06043","0.00012","216.060361","0.000008","46268.81","4","","","25192.9650","71461.7932","3d.4s2","c 2D","5/2","3d2.(3F).5p","4G*","5/2","","","u37","",46268.81,10.7422233629621,"wn(cm-1)"
"Ti","2","216.040","","216.039733","0.000010","46273.2","0:","","","9975.9994","56249.2448","3d3","a 2P","3/2","3d.(2D).4s.4p.(3P*)","y 4P*","3/2","","","L5432","",46273.2,10.7423182387921,"wn(cm-1)"
"Ti","2","215.950192","0.000010","215.950199","0.000010","46292.430","133","","","9930.7766","56223.205","3d2.(3P).4s","b 4P","3/2","3d.(2D).4s.4p.(3P*)","y 4P*","1/2","","","u37","",46292.43,10.7427337277868,"wn(cm-1)"
"Ti","2","215.908645","0.000010","215.908649","0.000009","46301.337","324","","","10024.8009","56326.1371","3d2.(3P).4s","b 4P","5/2","3d.(2D).4s.4p.(3P*)","y 4P*","5/2","","","u37","",46301.337,10.7429261165472,"wn(cm-1)"
"Ti","2","215.828768","0.000010","215.828781","0.000010","46318.471","44","","","9930.7766","56249.2448","3d2.(3P).4s","b 4P","3/2","3d.(2D).4s.4p.(3P*)","y 4P*","3/2","","","u37","",46318.471,10.7432961022029,"wn(cm-1)"
"Ti","2","215.680536","0.000019","215.680513","0.000019","46350.301","26","","","9872.899","56223.205","3d2.(3P).4s","b 4P","1/2","3d.(2D).4s.4p.(3P*)","y 4P*","1/2","","","u37","",46350.301,10.7439830650398,"wn(cm-1)"
"Ti","2","215.580","","215.578715","0.000011","46371.9","0:","","","9851.0145","56223.205","3d3","a 2P","1/2","3d.(2D).4s.4p.(3P*)","y 4P*","1/2","","","L5432","",46371.9,10.7444489513142,"wn(cm-1)"
"Ti","2","215.559406","0.000010","215.559397","0.000019","46376.344","134","","","9872.899","56249.2448","3d2.(3P).4s","b 4P","1/2","3d.(2D).4s.4p.(3P*)","y 4P*","3/2","","","u37","",46376.344,10.7445447806219,"wn(cm-1)"
