"ell","count","edge_lo","edge_hi","baseline"
8.57822444301527,4,8.57119849498018,8.58525039105037,2.88838758242817
8.59227633908546,1,8.58525039105037,8.59930228712055,2.7731768710562
8.60632823515565,2,8.59930228712055,8.61335418319074,2.68063288191862
8.62038013122584,1,8.61335418319074,8.62740607926093,2.6186570587277
8.63443202729603,1,8.62740607926093,8.64145797533112,2.59390760601926
8.64848392336621,1,8.64145797533112,8.65550987140131,2.61091983423195
8.6625358194364,2,8.65550987140131,8.6695617674715,2.67153559393574
8.67658771550659,1,8.6695617674715,8.68361366354168,2.77437995176809
8.69063961157678,2,8.68361366354168,8.69766555961187,2.91466685760798
8.70469150764697,0,8.69766555961187,8.71171745568206,3.08430485568406
8.71874340371716,2,8.71171745568206,8.72576935175225,3.27234863609518
8.73279529978734,5,8.72576935175225,8.73982124782244,3.4656589418912
8.74684719585753,4,8.73982124782244,8.75387314389262,3.64995907574179
8.76089909192772,3,8.75387314389262,8.76792503996281,3.81090092391981
8.77495098799791,10,8.76792503996281,8.781976936033,3.93522910939238
8.7890028840681,5,8.781976936033,8.79602883210319,4.01191681486251
8.80305478013828,7,8.79602883210319,8.81008072817338,4.03303334787004
8.81710667620847,4,8.81008072817338,8.82413262424357,3.99409144667565
8.83115857227866,7,8.82413262424357,8.83818452031375,3.89475829258685
8.84521046834885,3,8.83818452031375,8.85223641638394,3.73841792998823
8.85926236441904,9,8.85223641638394,8.86628831245413,3.53196212831054
8.87331426048923,4,8.86628831245413,8.88034020852432,3.28514933384184
8.88736615655941,1,8.88034020852432,8.89439210459451,3.00977584687643
8.9014180526296,0,8.89439210459451,8.9084440006647,2.7187742599152
8.91546994869979,3,8.9084440006647,8.92249589673488,2.42558824272294
8.92952184476998,2,8.92249589673488,8.93654779280507,2.14312090825384
8.94357374084016,1,8.93654779280507,8.95059968887526,1.8833898941387
8.95762563691035,0,8.95059968887526,8.96465158494545,1.65709588799779
8.97167753298054,1,8.96465158494545,8.97870348101564,1.47331772308561
8.98572942905073,0,8.97870348101564,8.99275537708582,1.33922256972083
8.99978132512092,0,8.99275537708582,9.00680727315601,1.25997775859462
9.01383322119111,0,9.00680727315601,9.0208591692262,1.23855049479001
9.0278851172613,0,9.0208591692262,9.03491106529639,1.27564121164328
9.04193701333148,0,9.03491106529639,9.04896296136658,1.36935699707347
9.05598890940167,1,9.04896296136658,9.06301485743677,1.51548696948094
9.07004080547186,0,9.06301485743677,9.07706675350695,1.70714987318986
9.08409270154205,0,9.07706675350695,9.09111864957714,1.93533371141276
9.09814459761224,0,9.09111864957714,9.10517054564733,2.18939735195333
9.11219649368243,0,9.10517054564733,9.11922244171752,2.45723748352313
9.12624838975261,3,9.11922244171752,9.13327433778771,2.72645673283366
9.1403002858228,9,9.13327433778771,9.14732623385789,2.98550122600768
9.15435218189299,5,9.14732623385789,9.16137812992808,3.22400334971778
9.16840407796318,7,9.16137812992808,9.17543002599827,3.43395196929211
9.18245597403337,5,9.17543002599827,9.18948192206846,3.61007245345353
9.19650787010355,3,9.18948192206846,9.20353381813865,3.75009994021173
9.21055976617374,3,9.20353381813865,9.21758571420884,3.85475356379702
9.22461166224393,4,9.21758571420884,9.23163761027902,3.92770278719367
9.23866355831412,3,9.23163761027902,9.24568950634921,3.97479785357362
9.25271545438431,8,9.24568950634921,9.2597414024194,4.0034819096072
9.26676735045449,6,9.2597414024194,9.27379329848959,4.02266125566312
9.28081924652468,1,9.27379329848959,9.28784519455978,4.04192101201651
9.29487114259487,2,9.28784519455978,9.30189709062997,4.07083816442696
9.30892303866506,3,9.30189709062997,9.31594898670015,4.11858370277112
9.32297493473525,4,9.31594898670015,9.33000088277034,4.193298065842
9.33702683080543,5,9.33000088277034,9.34405277884053,4.30165526162199
9.35107872687562,5,9.34405277884053,9.35810467491072,4.44820021889142
9.36513062294581,5,9.35810467491072,9.37215657098091,4.63497438275906
9.379182519016,1,9.37215657098091,9.38620846705109,4.8609669904571
9.39323441508619,2,9.38620846705109,9.40026036312128,5.12140677308112
9.40728631115638,1,9.40026036312128,9.41431225919147,5.40830498991891
