element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Mn,2,"=""261.3789""","=""0.0006""","=""261.37874""","=""0.00021""","=""38247.21""","=""40""","=""""",,"=""51553.11""","=""89800.35""","=""3d5.(2H).4s""","=""a 1H""","=""5""","=""3d5.(b 2F).4p""","=""t 3F*""","=""4""",,"=""""","=""L562""",
Mn,2,"=""261.4036""","=""0.0006""","=""261.40400""","=""0.00021""","=""38243.59""","=""40""","=""""",,"=""43537.186""","=""81780.73""","=""3d5.(4F).4s""","=""a 5F""","=""4""","=""3d5.(4F).4p""","=""y 5G*""","=""3""",,"=""""","=""L562""",
Mn,2,"=""261.4161""","=""0.0006""","=""261.41619""","=""0.00014""","=""38241.77""","=""40""","=""""",,"=""32836.74""","=""71078.501""","=""3d5.(4D).4s""","=""b 5D""","=""1""","=""3d5.(4P).4p""","=""z 3D*""","=""1""",,"=""""","=""L562""",
Mn,2,"=""261.438""","=""0.0015""","=""261.4440""","=""0.0003""","=""38238.6""","=""5i""","=""""",,"=""65566.03""","=""103803.72""","=""3d5.(4G).4p""","=""z 5H*""","=""4""","=""3d5.(4P).5s""","=""e 5P""","=""3""",,"=""""","=""L562""",
Mn,5,"=""""","=""""","=""261.541""","=""""","=""38223.5""","=""""","=""3.9e-01""",D,"=""24630.0""","=""62853.5""","=""3d3""","=""2D2""","=""5/2""","=""3d3""","=""2D1""","=""3/2""",M1,"=""T233""","=""""",
Mn,5,"=""""","=""""","=""261.541""","=""""","=""38223.5""","=""""","=""1.1e-01""",E,"=""24630.0""","=""62853.5""","=""3d3""","=""2D2""","=""5/2""","=""3d3""","=""2D1""","=""3/2""",E2,"=""T233n""","=""""",
Mn,2,"=""261.5699""","=""0.0006""","=""261.56948""","=""0.00021""","=""38219.29""","=""30""","=""""",,"=""32859.15""","=""71078.501""","=""3d5.(4D).4s""","=""b 5D""","=""2""","=""3d5.(4P).4p""","=""z 3D*""","=""1""",,"=""""","=""L562""",
Mn,2,"=""261.6521""","=""0.0018""","=""261.6502""","=""0.0003""","=""38207.28""","=""100*""","=""""",,"=""27547.26""","=""65754.82""","=""3d5.(4G).4s""","=""a 5G""","=""6""","=""3d5.(4G).4p""","=""z 5H*""","=""6""",,"=""""","=""L562""",
Mn,2,"=""261.6521""","=""0.0018""","=""261.6528""","=""0.0003""","=""38207.28""","=""100*""","=""1.14e+08""",C,"=""51553.11""","=""89760.29""","=""3d5.(2H).4s""","=""a 1H""","=""5""","=""3d5.(2H).4p""","=""x 1H*""","=""5""",,"=""c88""","=""L562""",
Mn,2,"=""261.674""","=""0.0015""","=""261.6740""","=""0.0003""","=""38204.1""","=""10""","=""""",,"=""43850.341""","=""82054.42""","=""3d5.(4F).4s""","=""a 5F""","=""2""","=""3d5.(4F).4p""","=""x 5F*""","=""2""",,"=""""","=""L562""",
