"element","sp_num","obs_wl_air(nm)","unc_obs_wl","ritz_wl_air(nm)","unc_ritz_wl","wn(cm-1)","intens","Aki(s^-1)","Acc","Ei(cm-1)","Ek(cm-1)","conf_i","term_i","J_i","conf_k","term_k","J_k","Type","tp_ref","line_ref","","wavenumber_cm","ell","wavenumber_source"
"Ni","2","","","830.099","","12043.45","","1.3e-02","E","1506.94","13550.39","3p6.3d9","2D","3/2","3p6.3d8.(3F).4s","2F","7/2","E2","T4240","","",12043.45,9.39627622266718,"wn(cm-1)"
"Ni","2","812.148","","","","12309.64","700","","","","","","","","","","","","","L897","",12309.64,9.41813797423422,"wn(cm-1)"
"Ni","2","811.421","","","","12320.67","500","","","","","","","","","","","","","L897","",12320.67,9.41903361872569,"wn(cm-1)"
"Ni","2","809.675","","","","12347.24","1000","","","","","","","","","","","","","L897","",12347.24,9.42118783529897,"wn(cm-1)"
"Ni","2","","","803.354","","12444.39","","1.0e-02","E","10663.89","23108.28","3p6.3d8.(3F).4s","4F","3/2","3p6.3d8.(3P).4s","4P","5/2","M1","T4240","","",12444.39,9.42902519793144,"wn(cm-1)"
"Ni","2","","","769.456","","12992.62","","1.4e-02","E","10115.66","23108.28","3p6.3d8.(3F).4s","4F","5/2","3p6.3d8.(3P).4s","4P","5/2","M1","T4240","","",12992.62,9.47213678293769,"wn(cm-1)"
"Ni","2","","","761.272","","13132.29","","1.8e-01","E","10663.89","23796.18","3p6.3d8.(3F).4s","4F","3/2","3p6.3d8.(1D).4s","2D","3/2","M1","T4240","","",13132.29,9.4828293618379,"wn(cm-1)"
"Ni","2","","","741.161","","13488.63","","3.3e-05","E","1506.94","14995.57","3p6.3d9","2D","3/2","3p6.3d8.(3F).4s","2F","5/2","M1","T4240","","",13488.63,9.5096023873359,"wn(cm-1)"
"Ni","2","","","737.783","","13550.39","","3.7e-04","E","0.00","13550.39","3p6.3d9","2D","5/2","3p6.3d8.(3F).4s","2F","7/2","M1","T4240","","",13550.39,9.51417060818147,"wn(cm-1)"
"Ni","2","","","730.765","","13680.52","","3.8e-01","E","10115.66","23796.18","3p6.3d8.(3F).4s","4F","5/2","3p6.3d8.(1D).4s","2D","3/2","M1","T4240","","",13680.52,9.52372820215002,"wn(cm-1)"
"Ni","2","","","725.582","","13778.24","","1.6e-01","E","9330.04","23108.28","3p6.3d8.(3F).4s","4F","7/2","3p6.3d8.(3P).4s","4P","5/2","M1","T4240","","",13778.24,9.53084581507532,"wn(cm-1)"
"Ni","2","","","710.266","","14075.36","","7.9e-03","E","14995.57","29070.93","3p6.3d8.(3F).4s","2F","5/2","3p6.3d8.(3P).4s","2P","3/2","M1","T4240","","",14075.36,9.55218102994545,"wn(cm-1)"
"Ni","2","","","707.804","","14124.31","","2.7e-02","E","10663.89","24788.20","3p6.3d8.(3F).4s","4F","3/2","3p6.3d8.(3P).4s","4P","3/2","M1","T4240","","",14124.31,9.55565270526394,"wn(cm-1)"
"Ni","2","","","705.420","","14172.04","","5.5e-04","E","10663.89","24835.93","3p6.3d8.(3F).4s","4F","3/2","3p6.3d8.(3P).4s","4P","1/2","M1","T4240","","",14172.04,9.55902628844822,"wn(cm-1)"
"Ni","2","","","695.582","","14372.49","","7.7e-03","E","10663.89","25036.38","3p6.3d8.(3F).4s","4F","3/2","3p6.3d8.(1D).4s","2D","5/2","M1","T4240","","",14372.49,9.57307124172403,"wn(cm-1)"
"Ni","2","","","691.079","","14466.14","","1.2e-03","E","9330.04","23796.18","3p6.3d8.(3F).4s","4F","7/2","3p6.3d8.(1D).4s","2D","3/2","E2","T4240","","",14466.14,9.57956602522773,"wn(cm-1)"
"Ni","2","","","684.842","","14597.89","","2.9e-02","E","14995.57","29593.46","3p6.3d8.(3F).4s","2F","5/2","3p6.3d8.(3P).4s","2P","1/2","E2","T4240","","",14597.89,9.58863227670438,"wn(cm-1)"
"Ni","2","","","681.357","","14672.54","","9.2e-02","E","10115.66","24788.20","3p6.3d8.(3F).4s","4F","5/2","3p6.3d8.(3P).4s","4P","3/2","M1","T4240","","",14672.54,9.59373299861722,"wn(cm-1)"
"Ni","2","","","679.420","","14714.38","","4.6e-03","E","8393.90","23108.28","3p6.3d8.(3F).4s","4F","9/2","3p6.3d8.(3P).4s","4P","5/2","E2","T4240","","",14714.38,9.59658052590292,"wn(cm-1)"
"Ni","2","","","679.148","","14720.27","","4.9e-03","E","10115.66","24835.93","3p6.3d8.(3F).4s","4F","5/2","3p6.3d8.(3P).4s","4P","1/2","E2","T4240","","",14720.27,9.59698073450595,"wn(cm-1)"
"Ni","2","","","670.024","","14920.72","","7.8e-03","E","10115.66","25036.38","3p6.3d8.(3F).4s","4F","5/2","3p6.3d8.(1D).4s","2D","5/2","M1","T4240","","",14920.72,9.61050612996606,"wn(cm-1)"
