species,ion,bins,n_unique_lines,k_best,n_obs,deltaD,scan_null_p,tail_count_ge,null_n,ell_min,ell_max,delta_ell,out_dir,status
Fe,2,120,9447,31.3265306122449,10.717134580264222,355.7443010501306,0.0001999600079984003,0,5000,8.661017598926389,10.810561171538335,2.1495435726119467,outputs/fe_ion2_120,reused
Fe,2,160,9447,31.3265306122449,10.739649568878214,315.72766060372885,0.0001999600079984003,0,5000,8.658759675005578,10.812819095459146,2.1540594204535672,outputs/fe_ion2_160,reused
Fe,2,200,9447,31.3265306122449,10.753158562046606,259.17875676052677,0.0001999600079984003,0,5000,8.657404920653093,10.814173849811631,2.156768929158538,outputs/fe_ion2_200,reused
