element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 21,wavenumber_cm,ell,wavenumber_source
Fe,2,315.18287,0.00012,315.182908,0.000016,31718.428,800,1.0e+07,D+,66411.712,98130.136,3d6.(3G).4p,y 4H*,13/2,3d6.(3H).5s,e 4H,13/2,,T6892c83,L18349c139,,31718.428,10.364653115882632,wn(cm-1)
Fe,2,315.1135,0.0003,315.11325,0.00003,31725.41,110,,,83305.229,115030.664,3d6.(1F).4p,v 2G*,7/2,3d6.(3D).4d,4F,9/2,,,L18349c139,,31725.41,10.36487321606094,wn(cm-1)
Fe,2,315.0517,0.0005,315.05129,0.00003,31731.63,250d?,,,58666.199,90397.873,3d6.(1G1).4s,d 2G,7/2,3d6.(5D).5p,4D*,7/2,,,L18349c143,,31731.63,10.365069254200126,wn(cm-1)
Fe,2,314.9197,0.0005,314.919710,0.000018,31744.93,120d?,3.6e+05,D,72238.564,103983.496,3d6.(3D).4p,w 4F*,5/2,3d6.(3G).5s,e 2G,7/2,,T6892c83,L18349c143,,31744.93,10.365488306530453,wn(cm-1)
Fe,2,314.8908,0.0005,314.891518,0.000018,31747.85,190,,,72238.564,103986.338,3d6.(3D).4p,w 4F*,5/2,3d6.(3H).4d,4H,7/2,,,L18349c143,,31747.85,10.365580285492536,wn(cm-1)
Fe,2,314.82059,0.00013,314.82075,0.00005,31754.926,1000,,,58631.623,90386.533,3d6.(1G1).4s,d 2G,9/2,3d6.(5D).5p,6F*,9/2,,,L18349c139,,31754.926,10.365803141892682,wn(cm-1)
Fe,2,314.76024,0.00009,314.760653,0.000017,31761.015,600,,,72650.698,104411.671,3d6.(3D).4p,w 4F*,9/2,3d6.(5D).5d,6D,9/2,,,L18349c145,,31761.015,10.365994873288699,wn(cm-1)
Fe,2,314.6895,0.0005,314.689065,0.000017,31768.15,120bl(Fe I),,,72352.046,104120.244,3d6.(3D).4p,w 4F*,7/2,3d6.(5D).5d,6P,5/2,,,L18349c143,,31768.15,10.366219494532501,wn(cm-1)
Fe,2,314.6755,0.0005,314.675366,0.000015,31769.57,700d?,5.e+02,E,30388.5451,62158.126,3d6.(3G).4s,b 2G,9/2,3d6.(3F2).4p,y 4F*,9/2,,T6892c83,L18349c143,,31769.57,10.366264192390725,wn(cm-1)
Fe,2,314.6604,0.0005,314.660201,0.000022,31771.09,290bl(Fe I),,,60445.279,92216.391,3d5.4s2,c 4D,5/2,3d6.(3P1).4p,u 2D*,3/2,,,L18349c143,,31771.09,10.366312035771651,wn(cm-1)
Fe,2,314.5699,0.0005,314.569523,0.000015,31780.23,220d?,2.8e+06,D+,60445.279,92225.549,3d5.4s2,c 4D,5/2,3d6.(5D).5p,4P*,3/2,,T6892c83,L18349c143,,31780.23,10.366599677320654,wn(cm-1)
Fe,2,314.5408,0.0005,314.541721,0.000016,31783.17,200bl(Fe II)*,,,30388.5451,62171.624,3d6.(3G).4s,b 2G,9/2,3d5.(6S).4s.4p.(3P*),y 6P*,7/2,,,L18349c143,,31783.17,10.366692183385531,wn(cm-1)
Fe,2,314.5280,0.0005,314.527588,0.000014,31784.47,170d?,1.0e+06,D,60441.042,92225.549,3d5.4s2,c 4D,3/2,3d6.(5D).5p,4P*,3/2,,T6892c83,L18349c142,,31784.47,10.366733084699476,wn(cm-1)
Fe,2,314.47532,0.00004,314.475384,0.000014,31789.789,3500,2.7e+06,D+,31483.1979,63272.981,3d6.(3D).4s,b 4D,7/2,3d6.(3F2).4p,x 4D*,5/2,,T6892c83,L18349c139,,31789.789,10.366900416575492,wn(cm-1)
Fe,2,314.4606,0.0005,314.460755,0.000019,31791.28,100d?,,,72130.375,103921.637,3d6.(1G2).4p,x 2H*,9/2,3d6.(3H).4d,4G,7/2,,,L18349c142,,31791.28,10.366947317328302,wn(cm-1)
Fe,2,314.4271,0.0005,314.427423,0.000018,31794.66,150d?,1.3e+06,D,67273.833,99068.465,3d6.(3F2).4p,y 2D*,3/2,3d6.(3P2).5s,2P,3/2,,T6892c83,L18349c143,,31794.66,10.367053630139065,wn(cm-1)
Fe,2,314.2555,0.0005,314.255960,0.000019,31812.03,110d?,,,73016.184,104828.163,3d6.(1G2).4p,x 2F*,7/2,3d6.(5D).5d,6D,5/2,,,L18349c143,,31812.03,10.367599799116944,wn(cm-1)
Fe,2,314.2228,0.0005,314.222391,0.000015,31815.34,"800d,bl?",,,13474.4474,45289.8248,3d7,a 4P,5/2,3d6.(5D).4p,z 4F*,3/2,,,L18349c143,,31815.34,10.367703842392753,wn(cm-1)
Fe,2,314.0896,0.0005,314.089440,0.000016,31828.83,170d?,6.e+05,D,60445.279,92274.123,3d5.4s2,c 4D,5/2,3d6.(3P1).4p,4P*,5/2,,T6892c83,L18349c142,,31828.83,10.368127761824871,wn(cm-1)
Fe,2,314.06457,0.00013,314.064544,0.000015,31831.364,600,9.e+06,D+,66463.542,98294.909,3d6.(3G).4p,y 4H*,11/2,3d6.(3H).5s,e 4H,11/2,,T6892c83,L18349c139,,31831.364,10.368207372012717,wn(cm-1)
Fe,2,314.0069,0.0005,314.007090,0.000021,31837.21,170?,8.e+05,D,60445.279,92282.470,3d5.4s2,c 4D,5/2,3d5.(4G).4s.4p.(3P*),v 4F*,7/2,,T6892c83,L18349c142,,31837.21,10.368391010490829,wn(cm-1)
Fe,2,313.8306,0.0005,313.830114,0.000018,31855.09,110d?,,,72651.914,104507.058,3d6.(3D).4p,w 4D*,7/2,3d6.(3H).4d,4F,5/2,,,L18349c143,,31855.09,10.368952459848748,wn(cm-1)
Fe,2,313.81805,0.00019,313.818056,0.000015,31856.369,500,9.e+06,D+,66589.042,98445.410,3d6.(3G).4p,y 4H*,9/2,3d6.(3H).5s,e 4H,9/2,,T6892c83,L18349c139,,31856.369,10.368992609612079,wn(cm-1)
Fe,2,313.8121,0.0005,313.811357,0.000018,31856.97,110?,,,73016.184,104873.232,3d6.(1G2).4p,x 2F*,7/2,3d6.(5D).5d,4D,7/2,,,L18349c143,,31856.97,10.369011475363253,wn(cm-1)
Fe,2,313.7291,0.0005,313.72981,0.00003,31865.40,150d?,,,54902.286,86767.614,3d6.(3P1).4s,c 2P,3/2,3d6.(3P1).4p,v 4D*,5/2,,,L18349c142,,31865.4,10.369276060627397,wn(cm-1)
Fe,2,313.72361,0.00019,313.723885,0.000019,31865.958,600,1.0e+07,D+,66248.647,98114.577,3d6.(3P2).4p,z 2S*,1/2,3d6.(3P2).5s,4P,3/2,,T6892c83,L18349c139,,31865.958,10.36929357163038,wn(cm-1)
Fe,2,313.6761,0.0005,313.67490,0.00003,31870.78,80bl(Fe I),1.6e+06,D+,78137.404,110008.310,3d6.(1D2).4p,v 2F*,7/2,3d6.(3G).4d,2H,9/2,,T6892c83,L18349c143,,31870.78,10.36944488153925,wn(cm-1)
Fe,2,313.5538,0.0005,313.553975,0.000015,31883.21,160d?,8.e+05,D+,66411.712,98294.909,3d6.(3G).4p,y 4H*,13/2,3d6.(3H).5s,e 4H,11/2,,T6892c83,L18349c143,,31883.21,10.369834817923074,wn(cm-1)
