"null_model","B","observed_deltaD","tail_count","scan_global_p","resolution_floor","exceedance_rate_ci_lo","exceedance_rate_ci_hi","null_median","null_q95","null_q99","null_max","nb_size","block_len","description","interpretation","worst_case"
"poisson_fixed_baseline",5000,315.727660603729,0,0.0001999600079984,0.0001999600079984,0,0.000737503801108105,8.73190201477571,14.6822768991152,18.0892965989488,23.6672128792788,NA,NA,"Fitted smooth Poisson null; observed smoothing baseline held fixed (canonical audit null).","reference",FALSE
"poisson_refit_baseline",5000,315.727660603729,0,0.0001999600079984,0.0001999600079984,0,0.000737503801108105,49.9931468107456,59.4571087228756,63.9473648369696,72.9850319621235,NA,NA,"Fitted smooth Poisson null; Gaussian smoothing baseline re-estimated in every replicate.","tests baseline-estimation uncertainty",FALSE
"conditional_multinomial",5000,315.727660603729,0,0.0001999600079984,0.0001999600079984,0,0.000737503801108105,49.7635764597087,59.1592288582691,63.2882828798395,70.6641970688671,NA,NA,"Conditional multinomial null with total line count fixed; smoothing baseline re-estimated.","conditions on observed total count",FALSE
"negative_binomial_refit",5000,315.727660603729,0,0.0001999600079984,0.0001999600079984,0,0.000737503801108105,61.2357956825111,97.3841922782264,123.343342559042,187.552366843889,14.4388561467183,NA,"Negative-binomial overdispersed count null using method-of-moments size; smoothing baseline re-estimated.","tests extra-Poisson variance",FALSE
"block_residual_refit",5000,315.727660603729,2,0.000599880023995201,0.0001999600079984,4.84455271182235e-05,0.0014441827958669,111.129777725806,187.002073839735,234.873979019818,388.221228496508,NA,8,"Block-permuted Pearson-residual rate perturbation followed by Poisson sampling; smoothing baseline re-estimated.","adversarial local-structure / baseline-misspecification diagnostic",TRUE
