"analysis_id","pointwise_statistic","pointwise_tail_count","pointwise_B","pointwise_p","global_statistic","global_tail_count","global_B","global_p","empirical_resolution","zero_exceedance","scan_k_min","scan_k_max","n_scanned_frequencies"
"fe_ion2_wn_bin120",355.744301050131,0,25,0.0384615384615385,355.744301050131,0,25,0.0384615384615385,0.0384615384615385,TRUE,0.5,80,2500
"fe_ion2_wn_bin160",315.727660603729,0,25,0.0384615384615385,315.727660603729,0,25,0.0384615384615385,0.0384615384615385,TRUE,0.5,80,2500
"fe_ion2_wn_bin200",259.178756760527,0,25,0.0384615384615385,259.178756760527,0,25,0.0384615384615385,0.0384615384615385,TRUE,0.5,80,2500
"cr_ion2_wn_bin160",228.486019036192,0,25,0.0384615384615385,228.486019036192,0,25,0.0384615384615385,0.0384615384615385,TRUE,0.5,80,2500
"mn_ion2_wn_bin160",89.4593944441067,0,25,0.0384615384615385,89.4593944441067,0,25,0.0384615384615385,0.0384615384615385,TRUE,0.5,80,2500
"co_ion2_wn_bin160",327.153172835048,0,25,0.0384615384615385,327.153172835048,0,25,0.0384615384615385,0.0384615384615385,TRUE,0.5,80,2500
"ni_ion2_wn_bin160",24.149190957751,0,25,0.0384615384615385,24.149190957751,0,25,0.0384615384615385,0.0384615384615385,TRUE,0.5,80,2500
"ti_ion2_wn_bin160",46.9882628355725,0,25,0.0384615384615385,46.9882628355725,0,25,0.0384615384615385,0.0384615384615385,TRUE,0.5,80,2500
