"source","n_lines","ell_min","ell_max","k_best","delta_log_x","scale_ratio","amplitude","deltaD","global_p","null_n","ci_lo","ci_hi","same_reference_region","abs_diff_from_wn","rel_diff_from_wn","overlap_with_wavenumber"
"wavenumber",9447,8.65875967500558,10.8128190954591,31.3265306122449,0.200570736190098,1.22210005588453,0.261305834349196,315.727660603729,0.0384615384615385,25,31.1658763505402,31.4855942376951,TRUE,0,0,9447
"observed",8994,8.65903289132403,10.8131428632729,31.3265306122449,0.200570736190098,1.22210005588453,0.267872314470838,315.376115676902,0.0384615384615385,25,31.1674669867947,31.5174069627851,TRUE,0,0,1
"ritz",9858,8.65903557021301,10.8131420591133,31.3265306122449,0.200570736190098,1.22210005588453,0.268053804171389,346.338782567562,0.0384615384615385,25,31.2302971188475,31.4863895558223,TRUE,0,0,0
