"tolerance_type","tolerance","is_primary","k_reference","n_valid","pct_in_reference","pct_largest_competitor","competitor_centre","median_k","iqr_k","ci_lo","ci_hi","stability_class"
"relative",0.01,FALSE,31.3265306122449,5000,0.9996,4e-04,31,31.3265306122449,0.127250900360199,31.1674669867947,31.4855942376951,"high"
"relative",0.02,TRUE,31.3265306122449,5000,1,0,NA,31.3265306122449,0.127250900360199,31.1674669867947,31.4855942376951,"high"
"relative",0.05,FALSE,31.3265306122449,5000,1,0,NA,31.3265306122449,0.127250900360199,31.1674669867947,31.4855942376951,"high"
"absolute",0.15906362545018,FALSE,31.3265306122449,5000,0.9188,NA,NA,31.3265306122449,0.127250900360199,31.1674669867947,31.4855942376951,"high"
