k,deltaD,D_base,D_harmonic,amplitude,phase
0.5,2.5269418131212547,181.9020307224484,179.37508890932713,26.514760193019455,3.013993648164594
0.531812725090036,2.5263674136322436,181.9020307224484,179.37566330881614,22.093777499284755,2.7059690838556407
0.563625450180072,2.5257550163678957,181.9020307224484,179.3762757060805,18.61201869985405,2.3979297845624363
0.595438175270108,2.5251041600460837,181.9020307224484,179.3769265624023,15.832340138159786,2.0898747695126123
0.6272509003601441,2.5244143570819233,181.9020307224484,179.37761636536646,13.586010091654769,1.7818030429542442
0.65906362545018,2.5236850937154145,181.9020307224484,179.37834562873297,11.750742249305906,1.4737135922746003
0.690876350540216,2.5229158301486905,181.9020307224484,179.3791148922997,10.23643499227123,1.1656053863973204
0.7226890756302521,2.5221060007071685,181.9020307224484,179.37992472174122,8.9757038347674,0.8574773743167312
0.7545018007202882,2.521255014021392,181.9020307224484,179.380775708427,7.917468039734021,0.5493284836964135
0.7863145258103241,2.5203622532305303,181.9020307224484,179.38166846921786,7.022526132563932,0.24115761948858747
0.8181272509003601,2.519427076216857,181.9020307224484,179.38260364623153,6.260452406529673,-0.06703633745240652
0.8499399759903962,2.5184488158653267,181.9020307224484,179.38358190658306,5.607386726666124,-0.3752545317768219
0.8817527010804321,2.517426780358335,181.9020307224484,179.38460394209005,5.044438435005693,-0.6834981350776387
0.9135654261704682,2.516360253503592,181.9020307224484,179.3856704689448,4.556518853074554,-0.9917683473675867
0.9453781512605042,2.515248495101673,181.9020307224484,179.3867822273467,4.131477112232689,-1.3000663986010734
0.9771908763505401,2.5140907413559432,181.9020307224484,179.38793998109244,3.7594534416033025,-1.6083935502449105
1.0090036014405763,2.5128862053268506,181.9020307224484,179.38914451712154,3.432390228608908,-1.9167510969023445
1.0408163265306123,2.511634077437691,181.9020307224484,179.3903966450107,3.143658829567364,-2.2251403679933364
1.0726290516206483,2.510333526033662,181.9020307224484,179.39169719641473,2.8877721864550083,-2.533562729495705
1.1044417767106842,2.5089836980002076,181.9020307224484,179.39304702444818,2.6601616723960713,-2.8420195857487864
1.1362545018007202,2.507583719444483,181.9020307224484,179.3944470030039,2.4570024536449493,3.1326729258559625
1.1680672268907561,2.5061326964461728,181.9020307224484,179.39589802600221,2.275075813678757,2.8241427042164213
1.1998799519807923,2.5046297158831976,181.9020307224484,179.3974010065652,2.111659863806069,2.515573525585037
