element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 21,wavenumber_cm,ell,wavenumber_source
Fe,2,1744.4584,0.0002,1744.45872,0.00024,5730.8731,3,1.7e+05,D+,83713.583,89444.455,3d6.(5D).4d,6D,7/2,3d5.(4P).4s.4p.(3P*),6P*,5/2,,T6892c83,L18349c139,,5730.8731,8.653623171574075,wn(cm-1)
Fe,1,1744.2255,0.0009,1744.2253,0.0007,5731.638,23,,,51076.628,56808.267,3d6.(5D).4s (6D).5p,t 5D*,4,3d7.(4F).6s,3F,4,,,L11631,,5731.638,8.653756632731838,wn(cm-1)
Fe,2,1744.1642,0.0002,1744.16381,0.00015,5731.8397,0.9,,,107498.510,113230.351,3d6.(5D).6p,4D*,3/2,3d6.(5D).7s,6D,3/2,,,L18349c139,,5731.8397,8.65379182275101,wn(cm-1)
Fe,1,1744.0608,0.0009,1744.0607,0.0004,5732.179,15,,,51705.014,57437.194,3d6.(5D).4s (6D).4d,f 5F,2,3d6.4s.(6D).6p,5P*,2,,,L11631,,5732.179,8.653851016653075,wn(cm-1)
Fe,2,,,1743.7190,0.0005,5733.3032,,1.07e-02,D+,21581.6151,27314.9183,3d6.(3H).4s,a 4H,9/2,3d6.(3F2).4s,a 2F,7/2,M1,T8961,,,5733.3032,8.65404711830567,wn(cm-1)
Fe,1,1743.6274,0.0024,1743.6290,0.0010,5733.604,29,,,50807.997,56541.596,3d6.(5D).4s (6D).4d,f 7D,4,3d6.4s.(6D).6p,7P*,4,,,L11631,,5733.604,8.654099582321436,wn(cm-1)
Fe,1,1743.5939,0.0009,1743.5937,0.0004,5733.714,6,,,47812.118,53545.833,3d6.(3F2).4s.4p.(3P*),x 3G*,4,3d7.(4F).4d,h 5D,3,,,L11631,,5733.714,8.654118767278199,wn(cm-1)
Fe,1,1743.364,0.006,1743.3636,0.0004,5734.469,158bl,,,51705.014,57439.486,3d6.(5D).4s (6D).4d,f 5F,2,3d6.4s.(6D<5/2>).4f,2[7/2]*,3,,,L11631,,5734.469,8.654250435913255,wn(cm-1)
Fe,1,1743.2285,0.0009,1743.2283,0.0004,5734.916,21,,,47420.228,53155.145,3d6.(3G).4s.4p.(3P*),w 5G*,5,3d7.(4F).4d,h 5D,4,,,L11631,,5734.916,8.654328382551235,wn(cm-1)
Fe,1,1742.8125,0.0009,1742.8123,0.0004,5736.285,22,,,46313.537,52049.823,3d7.(4P).4p,w 5P*,2,3d6.(5D).4s (4D).5s,g 5D,2,,,L11631,,5736.285,8.654567067237608,wn(cm-1)
Fe,2,1742.35699,0.00009,1742.35665,0.00024,5737.7849,8,,,107498.510,113236.296,3d6.(5D).6p,4D*,3/2,3d6.(5D).7s,4D,5/2,,,L18349c139,,5737.7849,8.654828508909414,wn(cm-1)
Fe,2,1742.32185,0.00009,1742.3211,0.0003,5737.9006,15,1.2e+06,D,104174.285,109912.188,3d6.(3H).4d,4I,11/2,3d6.(3H).5p,4I*,9/2,,T6892c83,L18349c139,,5737.9006,8.654848673282165,wn(cm-1)
Fe,1,1742.0836,0.0009,1742.0825,0.0004,5738.685,166,,,31307.245,37045.934,3d6.(5D).4s.4p.(3P*),z 3F*,4,3d7.(2F).4s,d 3F,4,,,L11631,,5738.685,8.6549853689909,wn(cm-1)
Fe,1,1741.8511,0.0009,1741.8506,0.0007,5739.451,47,,,50967.831,56707.284,3d6.(5D).4s (6D).4d,e 7G,6,3d6.4s.(6D).6p,5F*,5,,,L11631,,5739.451,8.655118840140073,wn(cm-1)
Fe,1,1741.8165,0.0024,1741.8136,0.0007,5739.565,4,,,51148.848,56888.423,3d6.(5D).4s (6D).4d,e 7F,3,3d6.4s.(6D).6p,7P*,3,,,L11631,,5739.565,8.655138702469737,wn(cm-1)
Fe,2,1741.5804,0.0004,1741.5805,0.0004,5740.3433,0.6,,,108775.110,114515.453,3d6.(3G).4d,4I,11/2,3d6.(3G).5p,2H*,11/2,,,L18349c139,,5740.3433,8.655274295887533,wn(cm-1)
Fe,2,1741.48806,0.00008,1741.48800,0.00021,5740.6478,15,1.6e+06,D+,103191.968,108932.616,3d6.(3P2).4d,2F,7/2,3d6.(3P2).5p,2D*,5/2,,T6892c83,L18349c139,,5740.6478,8.655327340088581,wn(cm-1)
Fe,2,1741.28044,0.00009,1741.27992,0.00018,5741.3323,17,1.2e+06,C,103878.370,109619.704,3d6.(3H).4d,4I,15/2,3d6.(3H).5p,4I*,13/2,,T6892c83,L18349c139,,5741.3323,8.655446570394652,wn(cm-1)
Fe,1,1740.9887,0.0024,1740.9900,0.0007,5742.294,3,,,51619.076,57361.366,3d6.(5D).4s (6D).5p,u 5F*,3,3d6.4s.(6D).5d,7G,3,,,L11631,,5742.294,8.65561406104214,wn(cm-1)
Fe,1,1740.9493,0.0009,1740.9497,0.0007,5742.424,58,,,50377.908,56120.331,3d6.(5D).4s (6D).4d,f 7D,5,3d6.4s.(6D).6p,7D*,5,,,L11631,,5742.424,8.655636699821779,wn(cm-1)
Fe,2,1740.94900,0.00013,1740.9494,0.0003,5742.4253,10bl(Fe I),7.4e+03,D+,60270.351,66012.775,3d5.4s2,c 4D,7/2,3d6.(3G).4p,x 4F*,9/2,,T6892c83,L18349c148,,5742.4253,8.655636926206986,wn(cm-1)
Fe,2,1740.9323,0.0004,1740.93363,0.00021,5742.4805,0.26,,,103882.740,109625.216,3d6.(5D<1>).4f,2[4]*,7/2,3d6.(3G).4d,2G,9/2,,,L18349c139,,5742.4805,8.655646538823921,wn(cm-1)
Fe,1,1740.5355,0.0009,1740.5345,0.0007,5743.789,15,,,51381.457,57125.250,3d6.(5D).4s (6D).5p,u 5F*,4,3d6.4s.(6D).5d,5F,4,,,L11631,,5743.789,8.655874376070065,wn(cm-1)
Fe,2,1740.47885,0.00009,1740.47870,0.00012,5743.9765,16,,,106863.620,112607.597,3d6.(5D).6p,4D*,7/2,3d6.(5D).7s,6D,7/2,,,L18349c139,,5743.9765,8.655907019494064,wn(cm-1)
Fe,2,1740.26571,0.00008,1740.26540,0.00015,5744.6800,60,1.34e+06,B+,82978.717,88723.398,3d6.(5D).4d,e 6F,9/2,3d6.(5D).5p,6D*,9/2,,T6892c83,L18349c139,,5744.68,8.656029488122295,wn(cm-1)
Fe,2,1740.17386,0.00009,1740.17392,0.00018,5744.9832,3.3,,,107736.321,113481.304,3d6.(5D).6p,4F*,3/2,3d6.(5D).7s,4D,3/2,,,L18349c139,,5744.9832,8.656082265996597,wn(cm-1)
Fe,1,1740.0584,0.0009,1740.0579,0.0007,5745.364,120,,,51381.457,57126.823,3d6.(5D).4s (6D).5p,u 5F*,4,3d6.4s.(6D).5d,7G,5,,,L11631,,5745.364,8.656148547718725,wn(cm-1)
Fe,2,1739.88906,0.00008,1739.88924,0.00021,5745.9236,28,2.29e+06,B+,84296.881,90042.804,3d6.(5D).4d,e 6G,11/2,3d6.(5D).5p,4F*,9/2,,T6892c83,L18349c139,,5745.9236,8.656245943244784,wn(cm-1)
