k_low,k_high,ratio,rational,rational_error
17.519807923169267,65.3343337334934,3.7291695217212553,179/48,2.855054588746242e-06
27.22268907563025,65.3343337334934,2.3999955901483916,12/5,4.409851608322413e-06
17.519807923169267,78.69567827130852,4.49181170343977,274/61,8.424751245073026e-06
17.519807923169267,49.90516206482593,2.848499383308209,94/33,1.453482336044587e-05
49.90516206482593,78.69567827130852,1.576904572899377,41/26,1.850402369996118e-05
65.3343337334934,78.69567827130852,1.2045072441132967,53/44,3.821043215790354e-05
41.28391356542617,78.69567827130852,1.9062068363890141,61/32,4.3163610985885725e-05
10.266506602641057,41.28391356542617,4.021223105706267,189/47,5.349003841370603e-05
27.22268907563025,74.59183673469387,2.740061296937358,137/50,6.129693735790198e-05
10.266506602641057,74.59183673469387,7.265551917680074,465/64,7.308231992642078e-05
17.519807923169267,23.24609843937575,1.3268466493079347,69/52,7.642761514214946e-05
49.90516206482593,65.3343337334934,1.309169853984749,72/55,7.89448938398607e-05
23.24609843937575,41.28391356542617,1.7759502168973351,103/58,8.814793181777247e-05
27.22268907563025,78.69567827130852,2.8908120741737044,159/55,9.701673538664579e-05
39.21608643457383,41.28391356542617,1.0527290537851652,20/19,9.747483779687371e-05
39.21608643457383,74.59183673469387,1.9020724278323689,97/51,0.00011164351864345612
27.22268907563025,39.21608643457383,1.4405662249465307,85/59,0.00011174115516410232
10.266506602641057,31.358343337334933,3.0544317118802615,168/55,0.00011374266519315057
27.22268907563025,49.90516206482593,1.8332194121667809,11/6,0.00011392116655239981
10.266506602641057,23.24609843937575,2.264265668849392,120/53,0.00011472545316548732
31.358343337334933,78.69567827130852,2.5095610895239555,133/53,0.00012712725980446038
14.243097238895558,65.3343337334934,4.587087530026549,211/46,0.00013100828741841042
23.24609843937575,31.358343337334933,1.3489723197686427,58/43,0.00013511046631720092
10.266506602641057,39.21608643457383,3.8198082319925164,233/61,0.00013610084497539532
27.22268907563025,41.28391356542617,1.516525918902829,91/60,0.0001407477638375454
31.358343337334933,65.3343337334934,2.0834752981260647,25/12,0.00014196479273120843
10.266506602641057,49.90516206482593,4.860968194574369,175/36,0.00014291653674192162
31.358343337334933,41.28391356542617,1.3165208736098615,79/60,0.00014579305680517685
39.21608643457383,49.90516206482593,1.2725686472587014,14/11,0.0001586254685712607
14.243097238895558,27.22268907563025,1.9112899827215641,86/45,0.00017887161045293531
14.243097238895558,78.69567827130852,5.525180159298748,221/40,0.00018015929874781733
10.266506602641057,65.3343337334934,6.363833021515434,70/11,0.00019665787907108268
23.24609843937575,65.3343337334934,2.810550506093782,163/58,0.00020567850757524653
14.243097238895558,74.59183673469387,5.23705170887943,199/38,0.00020960361627242463
14.243097238895558,41.28391356542617,2.8985207973365923,171/59,0.00021571259082975303
41.28391356542617,74.59183673469387,1.80680149464226,103/57,0.0002160492173892692
10.266506602641057,14.243097238895558,1.3873362956033677,43/31,0.0002395214098191989
23.24609843937575,49.90516206482593,2.146818839082834,73/34,0.00023998444657769014
17.519807923169267,27.22268907563025,1.5538234891051115,87/56,0.00025206053368287407
27.22268907563025,31.358343337334933,1.1519193879125968,53/46,0.00025452513088142226
17.519807923169267,39.21608643457383,2.2383856379333973,47/21,0.00029039983815914994
31.358343337334933,74.59183673469387,2.3786918821660317,88/37,0.00031350378765315767
23.24609843937575,27.22268907563025,1.1710648626316875,48/41,0.0003331553146144195
31.358343337334933,49.90516206482593,1.591447658059453,78/49,0.00038907663442455664
10.266506602641057,17.519807923169267,1.7065014031805426,99/58,0.00039514854359534723
17.519807923169267,31.358343337334933,1.7898794024941758,34/19,0.00040571828364943663
17.519807923169267,74.59183673469387,4.257571604769083,149/35,0.0004287476262261336
10.266506602641057,27.22268907563025,2.6516019644527593,114/43,0.00043917375508506495
23.24609843937575,74.59183673469387,3.208789506300351,77/24,0.0004561729670173875
74.59183673469387,78.69567827130852,1.0550173010380623,58/55,0.0004718464926078969
41.28391356542617,49.90516206482593,1.2088282760726385,52/43,0.00047404950875673535
17.519807923169267,41.28391356542617,2.356413594627929,139/59,0.00048139123809853857
23.24609843937575,39.21608643457383,1.6869964883288577,27/16,0.0005035116711422649
14.243097238895558,23.24609843937575,1.6320957478191243,31/19,0.0005168004507032364
14.243097238895558,17.519807923169267,1.2300560495596107,75/61,0.0005478528382991676
31.358343337334933,39.21608643457383,1.2505790249411406,5/4,0.0005790249411405934
23.24609843937575,78.69567827130852,3.385328444536253,193/57,0.0006364677444485878
39.21608643457383,65.3343337334934,1.6660085101172435,5/3,0.00065815654942325
41.28391356542617,65.3343337334934,1.582561537678652,87/55,0.0007433558604701407
14.243097238895558,39.21608643457383,2.7533397951873235,168/61,0.0007585654684141296
65.3343337334934,74.59183673469387,1.1416943048499268,73/64,0.0010693048499268443
10.266506602641057,78.69567827130852,7.66528297474275,23/3,0.0013836919239169632
14.243097238895558,31.358343337334933,2.201651987020102,141/64,0.0014730129798978808
49.90516206482593,74.59183673469387,1.4946717663755982,94/63,0.0026082743121060847
14.243097238895558,49.90516206482593,3.5038138986050824,7/2,0.003813898605082411
39.21608643457383,78.69567827130852,2.0067193191906205,2/1,0.006719319190620521
