k_low,k_high,ratio,rational,rational_error
31.581032412965186,46.05582232893157,1.4583380849203633,35/24,4.751587030060733e-06
31.581032412965186,71.66506602641056,2.2692439274717753,59/26,1.3158241006117066e-05
16.724489795918366,28.399759903961584,1.6980942468506623,90/53,1.8960696507530628e-05
38.357142857142854,49.459783913565424,1.2894543292177207,49/38,1.9354992805586946e-05
21.432773109243698,49.459783913565424,2.3076707648360264,30/13,2.1542856281087097e-05
49.459783913565424,71.66506602641056,1.4489563106796115,71/49,2.3281157123244967e-05
16.724489795918366,57.826530612244895,3.457596095179988,204/59,3.102346407990453e-05
43.19267707082833,76.05522208883554,1.760836031629122,81/46,3.3533588269296644e-05
71.66506602641056,76.05522208883554,1.0612593597668225,52/49,3.486997090407229e-05
21.432773109243698,71.66506602641056,3.3437141176800065,107/32,3.588231999351876e-05
28.399759903961584,43.19267707082833,1.5208817686097138,73/48,4.84352763805429e-05
28.399759903961584,76.05522208883554,2.678023418015809,158/59,5.731632089389649e-05
38.357142857142854,71.66506602641056,1.8683629876531618,71/38,5.8064978417204927e-05
38.357142857142854,76.05522208883554,1.9828177080888223,115/58,5.908739916704597e-05
21.432773109243698,28.399759903961584,1.325062312711793,53/40,6.231271179313325e-05
43.19267707082833,49.459783913565424,1.1450965132922915,71/62,6.477703028928694e-05
21.432773109243698,57.826530612244895,2.6980424006497326,143/53,7.080689743732549e-05
28.399759903961584,46.05582232893157,1.621697594792239,60/37,7.597317061724951e-05
16.724489795918366,76.05522208883554,4.547536159063992,191/42,8.288855505522719e-05
31.581032412965186,49.459783913565424,1.5661230851104269,83/53,8.534926137016008e-05
21.432773109243698,46.05582232893157,2.1488503654745568,101/47,8.580473820929413e-05
11.1890756302521,31.581032412965186,2.8224880639450673,175/62,9.258121622313098e-05
31.581032412965186,76.05522208883554,2.408256357623446,118/49,9.309231732368417e-05
43.19267707082833,57.826530612244895,1.338804041190122,83/62,9.436377076732505e-05
43.19267707082833,71.66506602641056,1.6591948192720853,73/44,0.00010391018117617001
16.724489795918366,49.459783913565424,2.9573269210063526,139/47,0.00011988750428582051
11.1890756302521,46.05582232893157,4.116141837884234,177/43,0.0001372318832082442
11.1890756302521,71.66506602641056,6.404913899468912,269/42,0.00015199470700721918
21.432773109243698,76.05522208883554,3.5485479037723695,110/31,0.00016080699817599964
46.05582232893157,49.459783913565424,1.0739094736018977,29/27,0.00016460047217647933
21.432773109243698,38.357142857142854,1.7896490884140364,34/19,0.00017540420351003227
28.399759903961584,49.459783913565424,1.741556410364797,101/58,0.0001771000199692896
57.826530612244895,71.66506602641056,1.2393111823871952,57/46,0.0001807476045865286
21.432773109243698,31.581032412965186,1.4734925924888678,28/19,0.00019161803744793815
28.399759903961584,57.826530612244895,2.036162657987065,112/55,0.00020097837657129247
46.05582232893157,76.05522208883554,1.6513704075382192,71/43,0.00020761684054471097
11.1890756302521,43.19267707082833,3.8602542782039593,166/43,0.00021083807511068642
46.05582232893157,57.826530612244895,1.2555748152588981,54/43,0.00023913822947396746
11.1890756302521,21.432773109243698,1.9155088246338716,113/59,0.0002545873457360237
28.399759903961584,38.357142857142854,1.3506150399458934,77/57,0.00026215303656274003
16.724489795918366,21.432773109243698,1.281520295732692,41/32,0.00027029573269210516
31.581032412965186,38.357142857142854,1.2145626639297524,17/14,0.00027694964403823796
11.1890756302521,28.399759903961584,2.5381685531892066,33/13,0.0002929852723316806
16.724489795918366,46.05582232893157,2.7537953558482577,168/61,0.0003030048074799119
49.459783913565424,57.826530612244895,1.1691626213592232,69/59,0.0003289040645055863
31.581032412965186,43.19267707082833,1.367677804386665,67/49,0.00033086561115491797
38.357142857142854,57.826530612244895,1.5075818036711892,95/63,0.0003547042653186949
21.432773109243698,43.19267707082833,2.0152631136751897,129/64,0.0003618863248102677
11.1890756302521,49.459783913565424,4.420363714393004,221/50,0.00036371439300442177
16.724489795918366,38.357142857142854,2.2934716290420987,133/58,0.0003681807662365699
28.399759903961584,71.66506602641056,2.5234391512026035,53/21,0.0003703726069201885
43.19267707082833,46.05582232893157,1.0662877471893717,16/15,0.0003789194772949589
11.1890756302521,76.05522208883554,6.797274824312001,435/64,0.0003998243120006961
57.826530612244895,76.05522208883554,1.3152305919720986,71/54,0.00041577715728369213
11.1890756302521,38.357142857142854,3.428088621855051,24/7,0.00048280671637757067
46.05582232893157,71.66506602641056,1.5560479088740893,14/9,0.0004923533185337003
31.581032412965186,57.826530612244895,1.8310525715589006,108/59,0.0005440969826293607
16.724489795918366,31.581032412965186,1.8883106628862651,17/9,0.0005782260026236941
16.724489795918366,71.66506602641056,4.28503750493486,30/7,0.0006767807794254566
49.459783913565424,76.05522208883554,1.5377184466019418,83/54,0.0006814095649048113
38.357142857142854,46.05582232893157,1.2007104517784768,6/5,0.0007104517784768394
16.724489795918366,43.19267707082833,2.5826005814162154,31/12,0.0007327519171180796
28.399759903961584,31.581032412965186,1.1120175846472502,69/62,0.0008856411592013114
38.357142857142854,43.19267707082833,1.126066068885655,71/63,0.0009180580984720077
11.1890756302521,57.826530612244895,5.168124027680919,305/59,0.0013674977428106416
11.1890756302521,16.724489795918366,1.4947159487151978,94/63,0.002652456651705659
