k_low,k_high,ratio,rational,rational_error
51.273109243697476,76.05522208883554,1.4833354795659148,89/60,2.1462325814347594e-06
17.201680672268907,33.839735894357744,1.9672342801312026,120/61,2.11653771042819e-05
33.839735894357744,51.273109243697476,1.5151746279511147,50/33,2.3112799599545042e-05
9.153061224489795,17.201680672268907,1.8793363499245854,109/58,2.6005096999126565e-05
22.164465786314526,76.05522208883554,3.4314033472350105,175/51,3.079821540286076e-05
30.213085234093636,33.839735894357744,1.1200357604052846,28/25,3.5760405284523955e-05
17.201680672268907,22.164465786314526,1.2885058273431502,67/52,4.428888161167599e-05
30.213085234093636,76.05522208883554,2.517294129333466,73/29,5.275002312110644e-05
22.164465786314526,46.723889555822325,2.108053945729296,78/37,5.416237881172847e-05
38.57983193277311,76.05522208883554,1.971372561222267,69/35,5.6010206304524246e-05
17.201680672268907,55.12244897959184,3.204480424314328,141/44,6.503023112669482e-05
30.213085234093636,42.62004801920768,1.4106486540180787,79/56,6.563169620710241e-05
17.201680672268907,51.273109243697476,2.9807034684904736,155/52,6.576227875720875e-05
9.153061224489795,55.12244897959184,6.022296544035675,271/45,7.432181345290445e-05
33.839735894357744,38.57983193277311,1.140074853220285,57/50,7.48532202849983e-05
51.273109243697476,55.12244897959184,1.0750752156963745,43/40,7.521569637458647e-05
30.213085234093636,51.273109243697476,1.697049766564021,56/33,8.006959432393934e-05
25.059423769507802,76.05522208883554,3.0349948501760524,173/57,9.286912219330645e-05
42.62004801920768,51.273109243697476,1.2030279557777621,77/64,9.704422223788534e-05
30.213085234093636,55.12244897959184,1.824456143836297,104/57,0.00010525967247487777
33.839735894357744,55.12244897959184,1.6289266899622186,101/62,0.00010556810229767066
9.153061224489795,25.059423769507802,2.7378188733687456,167/61,0.0001139553359585932
25.059423769507802,46.723889555822325,1.864523701166495,110/59,0.00011692150547815139
9.153061224489795,42.62004801920768,4.6563709095678405,149/32,0.00012090956784049922
22.164465786314526,38.57983193277311,1.7406163678708768,47/27,0.00012437286986388685
9.153061224489795,33.839735894357744,3.6970948914682937,122/33,0.00012519449859693665
42.62004801920768,46.723889555822325,1.0962889937328357,57/52,0.0001351475789894696
46.723889555822325,76.05522208883554,1.6277587934534057,70/43,0.00014818329078036818
25.059423769507802,38.57983193277311,1.5395338810510433,97/63,0.00014865863149648995
9.153061224489795,76.05522208883554,8.309266181388944,457/55,0.00017527229803526723
22.164465786314526,42.62004801920768,1.922899853761577,25/13,0.00017706931534622328
22.164465786314526,25.059423769507802,1.13061257650436,26/23,0.00017779389566441317
42.62004801920768,76.05522208883554,1.784494049714809,91/51,0.0001803242246127823
46.723889555822325,51.273109243697476,1.0973638909586085,45/41,0.00019708465114764984
22.164465786314526,55.12244897959184,2.4869739478957915,97/39,0.0002055392836957104
33.839735894357744,42.62004801920768,1.2594675133476416,34/27,0.0002082540883823203
33.839735894357744,46.723889555822325,1.3807403728470828,29/21,0.00021200810529808933
38.57983193277311,55.12244897959184,1.4287892460403895,10/7,0.00021781746896087917
25.059423769507802,30.213085234093636,1.2056576205418095,41/34,0.00022473239936693368
42.62004801920768,55.12244897959184,1.293345539046546,75/58,0.0002420907706839337
55.12244897959184,76.05522208883554,1.379750419234706,69/50,0.0002495807652937998
46.723889555822325,55.12244897959184,1.1797487217697389,59/50,0.0002512782302610539
17.201680672268907,25.059423769507802,1.4568008932933212,67/46,0.00027915416288637473
17.201680672268907,30.213085234093636,1.756403098611208,72/41,0.0003055376355982631
30.213085234093636,38.57983193277311,1.276924605145525,60/47,0.00032886046467384134
25.059423769507802,55.12244897959184,2.199669453160555,11/5,0.0003305468394452227
17.201680672268907,76.05522208883554,4.421383208877103,84/19,0.00033057729815499926
9.153061224489795,22.164465786314526,2.4215358384156342,155/64,0.0003391615843657547
17.201680672268907,38.57983193277311,2.2427943331704934,74/33,0.00037009074625116156
25.059423769507802,33.839735894357744,1.3503796498119716,27/20,0.00037964981197147196
17.201680672268907,42.62004801920768,2.4776676669690834,109/44,0.000394939696356289
30.213085234093636,46.723889555822325,1.5464785934240588,99/64,0.00039640657594119943
22.164465786314526,51.273109243697476,2.313302280236148,118/51,0.000423209959930837
17.201680672268907,46.723889555822325,2.7162397934259195,163/60,0.00042687324074730526
22.164465786314526,33.839735894357744,1.5267562151329688,29/19,0.0004404256592844824
38.57983193277311,46.723889555822325,1.2110962442044992,63/52,0.00044221733396221374
25.059423769507802,51.273109243697476,2.0460609834966106,88/43,0.00045064441036624103
22.164465786314526,30.213085234093636,1.3631316687428912,15/11,0.0005046948934723794
9.153061224489795,46.723889555822325,5.104728178896977,97/19,0.0005349789977602271
38.57983193277311,42.62004801920768,1.1047235273983258,21/19,0.0005396304964111476
9.153061224489795,38.57983193277311,4.21496491573218,59/14,0.0006792014464656049
9.153061224489795,30.213085234093636,3.3008721883402194,208/63,0.0007151132470819554
25.059423769507802,42.62004801920768,1.7007592996239431,17/10,0.000759299623943166
38.57983193277311,51.273109243697476,1.3290132868656066,85/64,0.0008882868656066023
9.153061224489795,51.273109243697476,5.601744376680438,353/63,0.001430226494164799
33.839735894357744,76.05522208883554,2.247512283377973,137/61,0.0016106440337106953
