"species","ion","bins","n_unique_lines","k_best","n_obs","deltaD","scan_null_p","tail_count_ge","null_n","ell_min","ell_max","delta_ell","out_dir","status"
"Fe",2,120,9447,31.3265306122449,10.7171345802642,355.744301050131,0.00497512437810945,0,200,8.66101759892639,10.8105611715383,2.14954357261195,"outputs_r/fe_ion2_120","reused"
"Fe",2,160,9447,31.3265306122449,10.7396495688782,315.727660603729,0.00497512437810945,0,200,8.65875967500558,10.8128190954591,2.15405942045357,"outputs_r/fe_ion2_160","reused"
"Fe",2,200,9447,31.3265306122449,10.7531585620466,259.178756760527,0.00497512437810945,0,200,8.65740492065309,10.8141738498116,2.15676892915854,"outputs_r/fe_ion2_200","reused"
