element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 21,wavenumber_cm,ell,wavenumber_source
Cr,2,243.97034,0.00003,243.970305,0.000018,40976.166,18,,,67012.0754,107988.247,3d4.(a 3F).4p,y 4F*,5/2,3d4.(a 3F).4d,2D,5/2,,,L18847,,40976.166,10.620745859582994,wn(cm-1)
Cr,2,243.9175,0.0005,243.917469,0.000018,40985.04,2,,,53271.007,94256.0540,3d3.4s2,c 4F,5/2,3d4.(5D).5p,4F*,3/2,,,L18847,,40985.04,10.620962401053472,wn(cm-1)
Cr,2,243.894695,0.000017,243.894702,0.000012,40988.874,43,,,69388.1505,110377.023,3d4.(3G).4p,y 4H*,13/2,3d4.(5D).5d,4G,11/2,,,L18847,,40988.874,10.62105594300641,wn(cm-1)
Cr,2,243.89112,0.00007,243.891079,0.000012,40989.474,9,,,66726.7823,107716.2636,3d4.(a 3P).4p,y 4P*,5/2,3d4.(5D).5d,4D,7/2,,,L18847,,40989.474,10.621070581017902,wn(cm-1)
Cr,2,243.875948,0.000014,243.875954,0.000012,40992.024,70,,,74424.1497,115416.173,3d4.(1I).4p,2K*,13/2,3d4.(1I).4d,2I,13/2,,,L18847,,40992.024,10.621132790176382,wn(cm-1)
Cr,2,243.87252,0.00012,243.87257,0.00003,40992.60,5,,,65542.8987,106535.491,3d4.(3H).4p,z 2G*,7/2,3d4.(a 3F).4d,2F,5/2,,,L18847,,40992.6,10.621146841591683,wn(cm-1)
Cr,2,243.86155,0.00007,243.861569,0.000012,40994.445,8,,,74421.7319,115416.173,3d4.(1I).4p,2I*,11/2,3d4.(1I).4d,2I,13/2,,,L18847,,40994.445,10.621191848702265,wn(cm-1)
Cr,2,243.846061,0.000015,243.846060,0.000009,40997.048,39,,,34812.9263,75809.9745,3d4.(3H).4s,a 2H,11/2,3d4.(a 1G).4p,w 2G*,9/2,,,L18847,,40997.048,10.62125534309432,wn(cm-1)
Cr,2,243.84225,0.00010,243.842180,0.000011,40997.688,3,,,36272.5173,77270.2178,3d5,a 2G,9/2,3d4.(1I).4p,w 2H*,9/2,,,L18847,,40997.688,10.621270953852553,wn(cm-1)
Cr,2,243.76558,0.00017,243.765632,0.000024,41010.58,3,,,65680.0091,106690.583,3d4.(3H).4p,z 2G*,9/2,3d4.(a 3F).4d,2F,7/2,,,L18847,,41010.58,10.621585361178072,wn(cm-1)
Cr,2,243.7121,0.0002,243.712276,0.000011,41019.58,3,,,49706.2607,90725.8123,3d4.(5D).4p,z 4P*,5/2,3d4.(5D).4d,e 4F,7/2,,,L18847,,41019.58,10.621804792666104,wn(cm-1)
Cr,2,243.32059,0.00002,243.320583,0.000009,41085.578,29,,,34630.9154,75716.4946,3d4.(3H).4s,a 2H,9/2,3d4.(a 1G).4p,w 2G*,7/2,,,L18847,,41085.578,10.62341243866112,wn(cm-1)
Cr,2,243.3011,0.0002,243.301087,0.000012,41088.87,5,,,68305.5518,109394.423,3d4.(a 3P).4p,z 4S*,3/2,3d4.(5D).5d,6S,5/2,,,L18847,,41088.87,10.623492560890886,wn(cm-1)
Cr,2,243.28100,0.00005,243.280967,0.000012,41092.263,12,,,74455.8028,115548.072,3d4.(a 1G).4p,x 2H*,9/2,3d4.(1I).4d,2H,11/2,,,L18847,,41092.263,10.623575134588231,wn(cm-1)
Cr,2,243.26964,0.00011,243.269613,0.000018,41094.183,10,,,53271.007,94365.1938,3d3.4s2,c 4F,5/2,3d4.(5D).5p,4F*,5/2,,,L18847,,41094.183,10.623621857620892,wn(cm-1)
Cr,2,243.07939,0.00002,243.079407,0.000012,41126.344,27,,,74421.7319,115548.072,3d4.(1I).4p,2I*,11/2,3d4.(1I).4d,2H,11/2,,,L18847,,41126.344,10.624404168384729,wn(cm-1)
Cr,2,242.99441,0.00004,242.994365,0.000018,41140.725,12,,,68305.5518,109446.284,3d4.(a 3P).4p,z 4S*,3/2,3d4.(a 3F).5d,4P,3/2,,,L18847,,41140.725,10.624753785803248,wn(cm-1)
Cr,2,242.92572,0.00004,242.925723,0.000012,41152.356,16,,,68305.5518,109457.908,3d4.(a 3P).4p,z 4S*,3/2,3d4.(a 3F).5d,4P,5/2,,,L18847,,41152.356,10.625036458415238,wn(cm-1)
Cr,2,242.75993,0.00006,242.75992,0.00003,41180.459,10,,,68305.5518,109486.012,3d4.(a 3P).4p,z 4S*,3/2,3d4.(a 3F).5d,4P,1/2,,,L18847,,41180.459,10.625719126707132,wn(cm-1)
Cr,2,242.69925,0.00019,242.699545,0.000012,41190.75,2,,,64448.7503,105639.4545,3d4.(a 3P).4p,y 4D*,5/2,3d4.(a 3F).4d,4D,3/2,,,L18847,,41190.75,10.625968995567343,wn(cm-1)
Cr,2,242.63784,0.00002,242.637807,0.000012,41201.179,30,,,69170.3527,110371.537,3d4.(3G).4p,y 4H*,11/2,3d4.(5D).5d,4G,9/2,,,L18847,,41201.179,10.626222151433028,wn(cm-1)
Cr,2,242.61703,0.00006,242.616985,0.000024,41204.712,9,,,53051.334,94256.0540,3d3.4s2,c 4F,3/2,3d4.(5D).5p,4F*,3/2,,,L18847,,41204.712,10.62630789773003,wn(cm-1)
Cr,2,242.56423,0.00005,242.564221,0.000010,41213.681,12,,,25042.7595,66256.4419,3d5,b 4D,3/2,3d4.(a 3P).4p,y 4P*,1/2,,,L18847,,41213.681,10.626525543323663,wn(cm-1)
Cr,2,242.52058,0.00004,242.520580,0.000010,41221.099,13,,,25035.3437,66256.4419,3d5,b 4D,1/2,3d4.(a 3P).4p,y 4P*,1/2,,,L18847,,41221.099,10.626705515903684,wn(cm-1)
Cr,2,242.35296,0.00005,242.352965,0.000012,41249.607,13,,,45669.3981,86919.0032,3d4.(a 1D).4s,c 2D,3/2,3d4.(1F).4p,v 2D*,3/2,,,L18847,,41249.607,10.627396864444716,wn(cm-1)
Cr,2,242.28335,0.00018,242.283301,0.000018,41261.46,3,,,66726.7823,107988.247,3d4.(a 3P).4p,y 4P*,5/2,3d4.(a 3F).4d,2D,5/2,,,L18847,,41261.46,10.62768417136032,wn(cm-1)
Cr,2,242.27771,0.00010,242.277598,0.000012,41262.417,4,,,67506.0890,108768.525,3d4.(3H).4p,z 2I*,11/2,3d4.(3G).4d,2I,11/2,,,L18847,,41262.417,10.627707364647762,wn(cm-1)
Cr,2,242.01390,0.00011,242.013804,0.000012,41307.393,4,,,64030.5053,105337.9137,3d4.(3H).4p,z 4H*,13/2,3d4.(a 3F).4d,g 4H,11/2,,,L18847,,41307.393,10.628796770193158,wn(cm-1)
Cr,2,242.010075,0.000014,242.010088,0.000007,41308.045,43,,,25046.7144,66354.7570,3d5,b 4D,5/2,3d4.(a 3P).4p,y 4P*,3/2,,,L18847,,41308.045,10.62881255416806,wn(cm-1)
Cr,2,241.98692,0.00003,241.986918,0.000007,41311.998,21,,,25042.7595,66354.7570,3d5,b 4D,3/2,3d4.(a 3P).4p,y 4P*,3/2,,,L18847,,41311.998,10.628908245234284,wn(cm-1)
Cr,2,241.93708,0.00003,241.937092,0.000024,41320.507,18,,,52320.978,93641.483,3d5,d 2G,9/2,3d4.(b 3F).4p,u 2G*,9/2,,,L18847,,41320.507,10.629114193245423,wn(cm-1)
Cr,2,241.89815,0.00002,241.898153,0.000012,41327.157,29,,,53923.5169,95250.6728,3d3.4s2,c 4F,9/2,3d4.(5D).5p,4D*,7/2,,,L18847,,41327.157,10.62927511733432,wn(cm-1)
Cr,2,241.82727,0.00007,241.827283,0.000018,41339.268,8,,,67588.8727,108928.139,3d4.(3H).4p,z 2I*,13/2,3d4.(1I).5s,2I,13/2,,,L18847,,41339.268,10.629568126257512,wn(cm-1)
Cr,2,241.80037,0.00003,241.800329,0.000012,41343.866,23,,,68992.3469,110336.221,3d4.(3G).4p,y 4H*,9/2,3d4.(5D).5d,4G,7/2,,,L18847,,41343.866,10.62967934603795,wn(cm-1)
Cr,2,241.639492,0.000015,241.639508,0.000012,41371.391,41,,,35707.4682,77078.8563,3d5,b 2H,11/2,3d4.(1I).4p,w 2H*,11/2,,,L18847,,41371.391,10.630344882288801,wn(cm-1)
Cr,2,241.63366,0.00016,241.633864,0.000018,41372.39,3,,,63600.8606,104973.215,3d4.(3H).4p,z 4H*,7/2,3d4.(3H).4d,2F,5/2,,,L18847,,41372.39,10.630369029118642,wn(cm-1)
Cr,2,241.61788,0.00006,241.61797,0.00004,41375.091,10,,,65029.3350,106404.410,3d4.(a 3P).4p,z 2S*,1/2,3d4.(a 3F).4d,2P,3/2,,,L18847,,41375.091,10.630434312072715,wn(cm-1)
Cr,2,241.58274,0.00012,241.582745,0.000012,41381.11,5,,,65542.8987,106924.0069,3d4.(3H).4p,z 2G*,7/2,3d4.(a 3F).4d,i 2G,9/2,,,L18847,,41381.11,10.630579775492686,wn(cm-1)
Cr,2,241.5626,0.0003,241.56256,0.00003,41384.56,2,,,68305.5518,109690.117,3d4.(a 3P).4p,z 4S*,3/2,3d4.(3G).4d,4D,1/2,,,L18847,,41384.56,10.630663143391526,wn(cm-1)
Cr,2,241.514291,0.000014,241.514292,0.000012,41392.836,43,,,64030.5053,105423.3412,3d4.(3H).4p,z 4H*,13/2,3d4.(3H).4d,g 4G,11/2,,,L18847,,41392.836,10.630863101361395,wn(cm-1)
Cr,2,241.50778,0.00011,241.507779,0.000011,41393.952,5,,,48491.0569,89885.0091,3d4.(5D).4p,z 6P*,5/2,3d4.(5D).4d,f 4D,7/2,,,L18847,,41393.952,10.630890062185145,wn(cm-1)
Cr,2,241.41357,0.00015,241.413688,0.000012,41410.10,3,,,68305.5518,109715.636,3d4.(a 3P).4p,z 4S*,3/2,3d4.(3G).4d,4F,3/2,,,L18847,,41410.1,10.63128009141233,wn(cm-1)
Cr,2,241.30557,0.00009,241.305586,0.000012,41428.637,6,,,32844.7068,74273.3409,3d5,b 4F,3/2,3d4.(3D).4p,w 4F*,3/2,,,L18847,,41428.637,10.631727635664712,wn(cm-1)
Cr,2,241.16924,0.00003,241.169262,0.000012,41452.055,23,,,68843.2727,110295.323,3d4.(3G).4p,y 4H*,7/2,3d4.(5D).5d,4G,5/2,,,L18847,,41452.055,10.632292737139085,wn(cm-1)
Cr,2,241.12598,0.00020,241.126016,0.000018,41459.49,2,,,68305.5518,109765.036,3d4.(a 3P).4p,z 4S*,3/2,3d4.(3G).4d,4F,5/2,,,L18847,,41459.49,10.632472084901087,wn(cm-1)
Cr,2,241.10032,0.00004,241.100320,0.000008,41463.902,16,,,32854.9399,74318.8425,3d5,b 4F,5/2,3d4.(3D).4p,w 4F*,5/2,,,L18847,,41463.902,10.632578496370705,wn(cm-1)
Cr,2,240.99406,0.00009,240.994024,0.000008,41482.183,5,,,32836.6527,74318.8425,3d5,b 4F,7/2,3d4.(3D).4p,w 4F*,5/2,,,L18847,,41482.183,10.633019288731091,wn(cm-1)
