"ell","count","edge_lo","edge_hi","baseline"
8.53468191921517,4,8.52512386036227,8.54423997806806,4.17311567483429
8.55379803692096,6,8.54423997806806,8.56335609577385,4.12311670282134
8.57291415462674,5,8.56335609577385,8.58247221347964,4.04350726524562
8.59203027233253,3,8.58247221347964,8.60158833118543,3.93078805999321
8.61114639003832,6,8.60158833118543,8.62070444889122,3.78309512679201
8.63026250774411,6,8.62070444889122,8.63982056659701,3.60048468032741
8.6493786254499,7,8.63982056659701,8.6589366843028,3.38518884902706
8.66849474315569,4,8.6589366843028,8.67805280200858,3.14151229013291
8.68761086086148,0,8.67805280200858,8.69716891971437,2.87556914302189
8.70672697856727,4,8.69716891971437,8.71628503742016,2.59481897871415
8.72584309627306,1,8.71628503742016,8.73540115512595,2.30747297497398
8.74495921397885,1,8.73540115512595,8.75451727283174,2.02195840231288
8.76407533168464,2,8.75451727283174,8.77363339053753,1.74840801216028
8.78319144939043,0,8.77363339053753,8.79274950824332,1.49106828801061
8.80230756709621,1,8.79274950824332,8.81186562594911,1.25742147855139
8.821423684802,0,8.81186562594911,8.8309817436549,1.05257542669413
8.84053980250779,0,8.8309817436549,8.85009786136069,0.880831963695329
8.85965592021358,0,8.85009786136069,8.86921397906648,0.745887839563003
8.87877203791937,0,8.86921397906648,8.88833009677227,0.651877776319045
8.89788815562516,0,8.88833009677227,8.90744621447806,0.603390618631228
8.91700427333095,0,8.90744621447806,8.92656233218385,0.606858690596877
8.93612039103674,0,8.92656233218385,8.94567844988963,0.670393385857909
8.95523650874253,1,8.94567844988963,8.96479456759542,0.804260622483967
8.97435262644832,0,8.96479456759542,8.98391068530121,1.02065337093778
8.99346874415411,0,8.98391068530121,9.003026803007,1.33248339493121
9.0125848618599,0,9.003026803007,9.02214292071279,1.7521219568152
9.03170097956569,0,9.02214292071279,9.04125903841858,2.28909513564874
9.05081709727147,0,9.04125903841858,9.06037515612437,2.94764753992807
9.06993321497727,1,9.06037515612437,9.07949127383016,3.72436710170793
9.08904933268305,0,9.07949127383016,9.09860739153595,4.60604758603174
9.10816545038884,0,9.09860739153595,9.11772350924174,5.56884953231216
9.12728156809463,0,9.11772350924174,9.13683962694753,6.57848225258793
9.14639768580042,0,9.13683962694753,9.15595574465332,7.59212343372118
9.16551380350621,0,9.15595574465332,9.1750718623591,8.56200126009659
9.184629921212,0,9.1750718623591,9.19418798006489,9.43939310997139
9.20374603891779,5,9.19418798006489,9.21330409777068,10.1802360683939
9.22286215662358,110,9.21330409777068,9.23242021547647,10.7495399259718
9.24197827432937,2,9.23242021547647,9.25153633318226,11.1249797343534
9.26109439203516,5,9.25153633318226,9.27065245088805,11.2987058642206
9.28021050974095,6,9.27065245088805,9.28976856859384,11.2773264240767
9.29932662744674,9,9.28976856859384,9.30888468629963,11.0804740842345
9.31844274515252,5,9.30888468629963,9.32800080400542,10.7366489202278
9.33755886285831,12,9.32800080400542,9.34711692171121,10.2804167138637
9.3566749805641,6,9.34711692171121,9.366233039417,9.74796562662497
9.37579109826989,12,9.366233039417,9.38534915712279,9.17418487732414
9.39490721597568,10,9.38534915712279,9.40446527482858,8.59011635444851
9.41402333368147,6,9.40446527482858,9.42358139253436,8.0222522783595
9.43313945138726,8,9.42358139253436,9.44269751024015,7.49201413145705
9.45225556909305,5,9.44269751024015,9.46181362794594,7.01618704681546
9.47137168679884,6,9.46181362794594,9.48092974565173,6.60823651295885
9.49048780450463,7,9.48092974565173,9.50004586335752,6.28042243284514
9.50960392221042,3,9.50004586335752,9.51916198106331,6.04335580426215
9.52872003991621,2,9.51916198106331,9.5382780987691,5.90814180273159
9.547836157622,2,9.5382780987691,9.55739421647489,5.88636903795386
9.56695227532778,2,9.55739421647489,9.57651033418068,5.9909046113128
9.58606839303357,4,9.57651033418068,9.59562645188647,6.23600390703259
9.60518451073936,3,9.59562645188647,9.61474256959226,6.63745508482983
9.62430062844515,11,9.61474256959226,9.63385868729805,7.21097527923408
9.64341674615094,9,9.63385868729805,9.65297480500384,7.97101682487292
9.66253286385673,3,9.65297480500384,9.67209092270963,8.92792629510413
9.68164898156252,4,9.67209092270963,9.69120704041541,10.0845776656126
9.70076509926831,7,9.69120704041541,9.7103231581212,11.4317866320242
9.7198812169741,5,9.7103231581212,9.72943927582699,12.9499800693539
9.73899733467989,3,9.72943927582699,9.74855539353278,14.597151502888
9.75811345238568,15,9.74855539353278,9.76767151123857,16.3158262364436
9.77722957009147,6,9.76767151123857,9.78678762894436,18.0323397258886
9.79634568779726,10,9.78678762894436,9.80590374665015,19.6611561329173
9.81546180550304,16,9.80590374665015,9.82501986435594,21.111345940109
9.83457792320883,32,9.82501986435594,9.84413598206173,22.2962107152345
9.85369404091462,44,9.84413598206173,9.86325209976752,23.1410102169467
9.87281015862041,63,9.86325209976752,9.88236821747331,23.5926925143559
9.8919262763262,72,9.88236821747331,9.9014843351791,23.6253630190886
9.91104239403199,51,9.9014843351791,9.92060045288489,23.2432605341103
9.93015851173778,14,9.92060045288489,9.93971657059067,22.4804027254753
9.94927462944357,15,9.93971657059067,9.95883268829646,21.3955985672094
9.96839074714936,3,9.95883268829646,9.97794880600225,20.0657296427123
9.98750686485515,10,9.97794880600225,9.99706492370804,18.5773369911474
10.0066229825609,13,9.99706492370804,10.0161810414138,17.0172039757185
10.0257391002667,11,10.0161810414138,10.0352971591196,15.4652710895803
10.0448552179725,5,10.0352971591196,10.0544132768254,13.9887773751829
10.0639713356783,13,10.0544132768254,10.0735293945312,12.6398210469388
10.0830874533841,10,10.0735293945312,10.092645512237,11.4538624981161
10.1022035710899,10,10.092645512237,10.1117616299428,10.4518422072257
10.1213196887957,8,10.1117616299428,10.1308777476486,9.64314261666155
