"element","sp_num","obs_wl_air(nm)","unc_obs_wl","ritz_wl_air(nm)","unc_ritz_wl","wn(cm-1)","intens","Aki(s^-1)","Acc","Ei(cm-1)","Ek(cm-1)","conf_i","term_i","J_i","conf_k","term_k","J_k","Type","tp_ref","line_ref","","wavenumber_cm","ell","wavenumber_source"
"Co","2","1983.660","0.006","1983.6622","0.0020","5039.811","2","","","106516.641","111556.446","3d7.(4P).4d","5D","1","3d7.(4F<5/2>).4f","2[5/2]*","2","","","L9429c118","",5039.811,8.52512386036227,"wn(cm-1)"
"Co","2","1968.630","0.004","1968.6332","0.0016","5078.289","4","5.7e+05","C+","92889.417","97967.697","3d7.(4F).4d","e 3H","4","3d7.(4F).5p","3F*","3","","T6999","L9429c118","",5078.289,8.53272967281533,"wn(cm-1)"
"Co","2","1965.0294","0.0023","1965.0234","0.0012","5087.593","4","4.7e+05","C+","91408.494","96496.103","3d7.(4F).4d","e 3D","3","3d7.(4F).5p","5F*","3","","T6999","L9429c118","",5087.593,8.53456010968205,"wn(cm-1)"
"Co","2","1958.4515","0.0019","1958.449","0.003","5104.681","4","4.4e+05","C+","89931.466","95036.155","3d7.(4F).4d","f 5F","5","3d7.(4F).5p","5D*","4","","T6999","L9429c118","",5104.681,8.53791324088922,"wn(cm-1)"
"Co","2","1943.7768","0.0019","1943.7755","0.0011","5143.219","6","1.18e+06","C+","91352.880","96496.103","3d7.(4F).4d","e 5G","4","3d7.(4F).5p","5F*","3","","T6999","L9429c118","",5143.219,8.54543442701882,"wn(cm-1)"
"Co","2","1943.2388","0.0008","1943.2386","0.0006","5144.643","2","4.5e+05","C+","91918.200","97062.844","3d7.(4F).4d","e 3G","4","3d7.(4F).5p","3F*","4","","T6999","L9429c118","",5144.643,8.54571125810561,"wn(cm-1)"
"Co","2","1939.9864","0.0008","1939.9854","0.0006","5153.268","26","1.8e+06","C+","90302.776","95456.047","3d7.(4F).4d","e 5G","6","3d7.(4F).5p","5F*","5","","T6999","L9429c118","",5153.268,8.54738635551454,"wn(cm-1)"
"Co","2","1917.0058","0.0008","1917.0056","0.0009","5215.044","28","2.9e+06","C+","92120.640","97335.685","3d7.(4F).4d","e 5H","4","3d7.(4F).5p","5G*","3","","T6999","L9429c118","",5215.044,8.55930280459966,"wn(cm-1)"
"Co","2","1914.2928","0.0009","1914.2929","0.0008","5222.435","3","2.8e+06","C+","92405.999","97628.434","3d7.(4F).4d","e 5H","3","3d7.(4F).5p","5G*","2","","T6999","L9429c118","",5222.435,8.56071904720678,"wn(cm-1)"
"Co","2","1909.3841","0.0007","1909.3835","0.0005","5235.861","24","2.5e+06","C+","91646.447","96882.310","3d7.(4F).4d","e 5H","5","3d7.(4F).5p","5G*","4","","T6999","L9429c118","",5235.861,8.56328657969498,"wn(cm-1)"
"Co","2","1901.7475","0.0008","1901.7483","0.0005","5256.886","9","6.8e+05","C+","90199.163","95456.047","3d7.(4F).4d","f 5F","4","3d7.(4F).5p","5F*","5","","T6999","L9429c118","",5256.886,8.56729411521243,"wn(cm-1)"
"Co","2","1900.2423","0.0007","1900.2410","0.0006","5261.050","43","3.2e+06","C+","90975.540","96236.594","3d7.(4F).4d","e 5H","6","3d7.(4F).5p","3G*","5","","T6999","L9429c118","",5261.05,8.56808590558224,"wn(cm-1)"
"Co","2","","","1893.7398","0.0022","5279.115","m(Ne)","1.6e+06","C+","90697.464","95976.579","3d7.(4F).4d","e 5G","5","3d7.(4F).5p","5F*","4","","T6999","L9429","",5279.115,8.57151374901521,"wn(cm-1)"
"Co","2","1879.6545","0.0008","1879.6543","0.0025","5318.674","50","3.3e+06","C+","91623.455","96942.130","3d7.(4F).4d","e 3H","6","3d7.(4F).5p","5G*","5","","T6999","L9429c118","",5318.674,8.57897930314791,"wn(cm-1)"
"Co","2","1875.3637","0.0008","1875.3646","0.0014","5330.843","67","3.3e+06","C+","90667.894","95998.735","3d7.(4F).4d","e 5H","7","3d7.(4F).5p","5G*","6","","T6999","L9429c118","",5330.843,8.58126466600455,"wn(cm-1)"
"Co","2","1870.0901","0.0007","1870.0902","0.0008","5345.876","29","3.5e+06","C+","92359.180","97705.056","3d7.(4F).4d","e 3H","5","3d7.(4F).5p","3G*","4","","T6999","L9429c118","",5345.876,8.58408070151777,"wn(cm-1)"
"Co","2","1855.0715","0.0007","1855.0682","0.0017","5389.156","24*","","","105625.153","111014.319","3d7.(4P).4d","5F","2","3d7.(4F<7/2>).4f","2[1/2]*","1","","","L9429c118","",5389.156,8.59214406537126,"wn(cm-1)"
"Co","2","1845.7447","0.0021","1845.742","0.003","5416.388","3","6.9e+05","C+","91646.447","97062.844","3d7.(4F).4d","e 5H","5","3d7.(4F).5p","3F*","4","","T6999","L9429c118","",5416.388,8.59718445161253,"wn(cm-1)"
"Co","2","1817.1765","0.0011","1817.1750","0.0013","5501.540","8","7.9e+05","C+","105504.380","111005.925","3d7.(4P).4d","5F","3","3d7.(4P).5p","5D*","3","","T6999","L9429c118","",5501.54,8.61278333202788,"wn(cm-1)"
"Co","2","1809.5958","0.0007","1809.5979","0.0005","5524.587","38","2.0e+06","C+","89931.466","95456.047","3d7.(4F).4d","f 5F","5","3d7.(4F).5p","5F*","5","","T6999","L9429c118","",5524.587,8.61696377246073,"wn(cm-1)"
"Co","2","","","1808.3108","0.0013","5528.513","m(Ne)","8.2e+05","C+","90967.590","96496.103","3d7.(4F).4d","f 5F","2","3d7.(4F).5p","5F*","3","","T6999","L9429","",5528.513,8.61767416143126,"wn(cm-1)"
"Co","2","1808.0053","0.0018","1808.0109","0.0020","5529.447","17","7.2e+05","C+","91352.880","96882.310","3d7.(4F).4d","e 5G","4","3d7.(4F).5p","5G*","4","","T6999","L9429c118","",5529.447,8.61784308951605,"wn(cm-1)"
"Co","2","1807.1859","0.0012","1807.179","0.010","5531.954","6i","7.0e+05","C+","91358.992","96890.966","3d7.(4F).4d","f 5F","1","3d7.(4F).5p","5F*","2","","T6999","L9429c118","",5531.954,8.61829637749339,"wn(cm-1)"
"Co","2","1804.8414","0.0009","1804.8448","0.0023","5539.140","20","1.18e+06","C+","90697.464","96236.594","3d7.(4F).4d","e 5G","5","3d7.(4F).5p","3G*","5","","T6999","L9429c118","",5539.14,8.61959453303414,"wn(cm-1)"
"Co","2","1801.3221","0.0009","1801.3235","0.0013","5549.962","7","2.6e+06","C+","106316.344","111866.302","3d7.(4P).4d","3F","3","3d7.(4P).5p","3D*","2","","T6999","L9429c118","",5549.962,8.62154635987019,"wn(cm-1)"
"Co","2","1799.5631","0.0008","1799.5661","0.0023","5555.387","7","4.4e+05","C+","91326.932","96882.310","3d7.(4F).4d","e 3G","5","3d7.(4F).5p","5G*","4","","T6999","L9429c118","",5555.387,8.6225233666138,"wn(cm-1)"
"Co","2","1792.1935","0.0008","1792.1946","0.0010","5578.231","7","1.0e+06","C+","91918.200","97496.428","3d7.(4F).4d","e 3G","4","3d7.(4F).5p","3D*","3","","T6999","L9429c118","",5578.231,8.62662698002267,"wn(cm-1)"
"Co","2","1785.842","0.003","1785.8419","0.0013","5598.070","4","2.4e+05","C+","105395.118","110993.189","3d7.(4P).4d","5F","4","3d7.(4P).5p","5D*","4","","T6999","L9429c118","",5598.07,8.6301771744631,"wn(cm-1)"
"Co","2","1781.7872","0.0012","1781.7882","0.0010","5610.810","15","2.4e+06","C+","105395.118","111005.925","3d7.(4P).4d","5F","4","3d7.(4P).5p","5D*","3","","T6999","L9429c118","",5610.81,8.63245037312097,"wn(cm-1)"
"Co","2","1780.3951","0.0012","1780.3949","0.0010","5615.197","21","1.18e+06","C+","91326.932","96942.130","3d7.(4F).4d","e 3G","5","3d7.(4F).5p","5G*","5","","T6999","L9429c118","",5615.197,8.63323195115193,"wn(cm-1)"
"Co","2","1768.070","0.003","1768.0670","0.0009","5654.339","9","4.8e+05","C+","91408.494","97062.844","3d7.(4F).4d","e 3D","3","3d7.(4F).5p","3F*","4","","T6999","L9429c118","",5654.339,8.64017849400833,"wn(cm-1)"
"Co","2","1763.7013","0.0015","1763.7011","0.0007","5668.346","6","6.1e+05","C+","91667.338","97335.685","3d7.(4F).4d","e 5G","3","3d7.(4F).5p","5G*","3","","T6999","L9429c118","",5668.346,8.64265264340756,"wn(cm-1)"
"Co","2","1758.5163","0.0011","1758.5180","0.0019","5685.059","23","1.5e+06","C+","105308.135","110993.189","3d7.(4P).4d","5F","5","3d7.(4P).5p","5D*","4","","T6999","L9429c118","",5685.059,8.645596784319,"wn(cm-1)"
