element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 21,wavenumber_cm,ell,wavenumber_source
Co,2,474.721,0.021,474.72314,0.00009,21059.1,1,5.61e-01,,950.324,22009.344,3d8,a 3F,3,3d7.(2G).4s,a 3G,4,E2,T6904,L16109,,21059.1,9.955088049732064,wn(cm-1)
Co,2,474.28172,0.00024,474.28189,0.00005,21078.619,40,2.7e+06,D,90464.589,111543.201,3d7.(4F).4d,e 5P,3,3d7.(4F<5/2>).4f,2[9/2]*,4,,T6999,L9429c118,,21078.619,9.956014488175306,wn(cm-1)
Co,2,473.6207,0.0007,473.61917,0.00007,21108.04,95bl(Co I),1.7e+05,D,90464.589,111572.695,3d7.(4F).4d,e 5P,3,3d7.(4F<5/2>).4f,2[5/2]*,3,,T6999,L9429c118,,21108.04,9.957409289539871,wn(cm-1)
Co,2,468.48091,0.00018,468.48088,0.00005,21339.614,76,2.9e+06,D,90199.163,111538.779,3d7.(4F).4d,f 5F,4,3d7.(4F<5/2>).4f,2[9/2]*,5,,T6999,L9429c118,,21339.614,9.968320436594682,wn(cm-1)
Co,2,468.1097,0.0004,468.10967,0.00007,21356.537,34,8.e+05,D,90199.163,111555.701,3d7.(4F).4d,f 5F,4,3d7.(4F<5/2>).4f,2[7/2]*,4,,T6999,L9429c118,,21356.537,9.969113154462212,wn(cm-1)
Co,2,466.0650,0.0025,466.06330,0.00011,21450.23,350,1.3e+05,D,27105.744,48556.052,3d7.(2H).4s,a 3H,6,3d7.(4F).4p,z 3G*,5,,T6999,L4687c119,,21450.23,9.973490646909399,wn(cm-1)
Co,2,462.3791,0.0003,462.38035,0.00006,21621.221,33,,,68843.428,90464.589,3d7.(2H).4p,x 3G*,4,3d7.(4F).4d,e 5P,3,,,L9429c118,,21621.221,9.98143056508418,wn(cm-1)
Co,2,462.316,0.020,462.30836,0.00006,21624.2,3,7.73e-01,,0.000,21624.528,3d8,a 3F,4,3d7.(2G).4s,a 3G,5,E2,T6904,L16109,,21624.2,9.981568336896125,wn(cm-1)
Co,2,462.2100,0.0003,462.20886,0.00015,21629.129,120,1.8e+05,E,41738.15,63367.333,3d6.4s2,a 5D,2,3d7.(4P).4p,z 5P*,2,,T6999,L9429c118,,21629.129,9.981796249990227,wn(cm-1)
Co,2,461.6282,0.0025,461.6245,0.0015,21656.39,70,2.2e+05,E,42008.63,63665.192,3d6.4s2,a 5D,1,3d7.(4P).4p,z 5P*,1,,T6999,L4687c119,,21656.39,9.983055839997883,wn(cm-1)
Co,2,456.9258,0.0025,456.92462,0.00005,21879.26,14d,1.4e+05,D,27468.988,49348.304,3d7.(2H).4s,a 3H,5,3d7.(4F).4p,z 3G*,4,,T6999,L4687c119,,21879.26,9.99329443512303,wn(cm-1)
Co,2,456.66116,0.00006,456.66255,0.00008,21891.938,380bl(Co I),,,25147.233,47039.105,3d7.(2G).4s,b 1G,4,3d7.(4F).4p,z 5D*,3,,,L9429c118,,21891.938,9.993873720175019,wn(cm-1)
Co,2,456.6021,0.0025,456.60352,0.00006,21894.77,10,2.6e+05,D,63586.987,85481.689,3d7.(4P).4p,y 3D*,3,3d7.(4F).5s,e 3F,4,,T6999,L4687c119,,21894.77,9.99400307449889,wn(cm-1)
Co,2,456.0093,0.0025,456.00924,0.00019,21923.23,14d,1.3e+06,D,65016.915,86940.150,3d7.(2G).4p,y 3F*,2,3d7.(4F).5s,e 3F,2,,T6999,L4687c119,,21923.23,9.995302084221015,wn(cm-1)
Co,2,455.9867,0.0025,455.98343,0.00005,21924.32,10d,,,28111.872,50036.348,3d7.(2D2).4s,a 3D,2,3d7.(4F).4p,z 3G*,3,,,L4687c119,,21924.32,9.995351801936152,wn(cm-1)
