ell,count,edge_lo,edge_hi,baseline
8.525693122964459,1.0,8.519944483139742,8.531441762789173,4.611504919848185
8.537190402613888,1.0,8.531441762789173,8.542939042438604,5.269680846703992
8.548687682263319,1.0,8.542939042438604,8.554436322088034,5.9228153817161555
8.56018496191275,5.0,8.554436322088034,8.565933601737465,6.537357394002082
8.57168224156218,1.0,8.565933601737465,8.577430881386896,7.079901861352418
8.583179521211612,3.0,8.577430881386896,8.588928161036327,7.520910408385256
8.594676800861041,57.0,8.588928161036327,8.600425440685758,7.83844388823862
8.606174080510474,7.0,8.600425440685758,8.611922720335189,8.021111114305878
8.617671360159903,22.0,8.611922720335189,8.623419999984618,8.069709588872326
8.629168639809333,6.0,8.623419999984618,8.634917279634049,7.997068036951356
8.640665919458765,3.0,8.634917279634049,8.64641455928348,7.826196768641584
8.652163199108195,5.0,8.64641455928348,8.657911838932911,7.587270422058524
8.663660478757627,3.0,8.657911838932911,8.669409118582342,7.312913749432452
8.675157758407057,4.0,8.669409118582342,8.680906398231771,7.034174436563939
8.686655038056486,0.0,8.680906398231771,8.692403677881202,6.77637919083772
8.698152317705919,5.0,8.692403677881202,8.703900957530633,6.555914673285821
8.709649597355348,1.0,8.703900957530633,8.715398237180064,6.379080226443738
8.72114687700478,3.0,8.715398237180064,8.726895516829495,6.242132764128307
8.73264415665421,7.0,8.726895516829495,8.738392796478927,6.133189674978377
8.744141436303641,4.0,8.738392796478927,8.749890076128356,6.034584930301627
8.755638715953072,6.0,8.749890076128356,8.761387355777787,5.927155143146655
8.767135995602501,16.0,8.761387355777787,8.772884635427218,5.793555461168399
8.778633275251934,12.0,8.772884635427218,8.784381915076649,5.621460493617615
8.790130554901364,14.0,8.784381915076649,8.79587919472608,5.406079129137234
8.801627834550795,8.0,8.79587919472608,8.80737647437551,5.151130964697066
8.813125114200226,1.0,8.80737647437551,8.81887375402494,4.868678317928127
8.824622393849655,5.0,8.81887375402494,8.830371033674371,4.578003884507344
8.836119673499088,1.0,8.830371033674371,8.841868313323802,4.3033648399628355
8.847616953148517,0.0,8.841868313323802,8.853365592973233,4.071144953323355
8.859114232797948,0.0,8.853365592973233,8.864862872622663,3.9072071700072217
8.870611512447379,0.0,8.864862872622663,8.876360152272094,3.8335308255470393
8.882108792096808,0.0,8.876360152272094,8.887857431921525,3.865448084223397
8.893606071746241,2.0,8.887857431921525,8.899354711570956,4.012086809049676
8.90510335139567,3.0,8.899354711570956,8.910851991220387,4.27067095989264
8.916600631045103,0.0,8.910851991220387,8.922349270869818,4.630305988315534
8.928097910694532,5.0,8.922349270869818,8.933846550519247,5.069982838439789
8.939595190343962,0.0,8.933846550519247,8.945343830168678,5.560702236142359
8.951092469993394,0.0,8.945343830168678,8.956841109818109,6.067909469153379
8.962589749642824,7.0,8.956841109818109,8.96833838946754,6.553174352507554
8.974087029292257,8.0,8.96833838946754,8.979835669116971,6.980142076295454
8.985584308941686,12.0,8.979835669116971,8.9913329487664,7.317318114716855
8.997081588591115,16.0,8.9913329487664,9.002830228415831,7.5428917607212025
9.008578868240548,26.0,9.002830228415831,9.014327508065263,7.647313060002281
9.020076147889977,17.0,9.014327508065263,9.025824787714694,7.636190644200566
9.03157342753941,13.0,9.025824787714694,9.037322067364125,7.530842635305081
9.04307070718884,9.0,9.037322067364125,9.048819347013556,7.367609947147657
9.05456798683827,2.0,9.048819347013556,9.060316626662985,7.194903655853509
9.066065266487701,1.0,9.060316626662985,9.071813906312416,7.069411951507708
9.07756254613713,2.0,9.071813906312416,9.083311185961847,7.050083273442796
9.089059825786563,0.0,9.083311185961847,9.094808465611278,7.192066810588688
9.100557105435993,0.0,9.094808465611278,9.106305745260709,7.539998542466204
9.112054385085424,1.0,9.106305745260709,9.117803024910138,8.121949892178025
9.123551664734855,0.0,9.117803024910138,9.12930030455957,8.944643600746813
9.135048944384284,2.0,9.12930030455957,9.140797584209,9.989864337348587
9.146546224033717,4.0,9.140797584209,9.152294863858431,11.21407312701699
9.158043503683146,5.0,9.152294863858431,9.163792143507862,12.550269170178888
9.169540783332577,0.0,9.163792143507862,9.175289423157292,13.913080267270226
9.181038062982008,2.0,9.175289423157292,9.186786702806723,15.206215103724078
9.192535342631437,14.0,9.186786702806723,9.198283982456154,16.33220890630917
9.20403262228087,36.0,9.198283982456154,9.209781262105585,17.202771922458385
9.2155299019303,56.0,9.209781262105585,9.221278541755016,17.747906791001448
9.227027181579732,77.0,9.221278541755016,9.232775821404447,17.924262131614114
9.238524461229161,41.0,9.232775821404447,9.244273101053876,17.719148377691706
9.25002174087859,21.0,9.244273101053876,9.255770380703307,17.150756763232785
9.261519020528024,5.0,9.255770380703307,9.267267660352738,16.26517472762328
9.273016300177453,3.0,9.267267660352738,9.27876494000217,15.129507635200639
9.284513579826886,2.0,9.27876494000217,9.2902622196516,13.823283706071356
9.296010859476315,6.0,9.2902622196516,9.30175949930103,12.429260672756627
9.307508139125744,2.0,9.30175949930103,9.31325677895046,11.02533841159038
9.319005418775177,8.0,9.31325677895046,9.324754058599892,9.677349421384694
9.330502698424606,8.0,9.324754058599892,9.336251338249323,8.435760735569367
9.341999978074039,4.0,9.336251338249323,9.347748617898754,7.334315549409494
9.353497257723468,5.0,9.347748617898754,9.359245897548185,6.390712894381206
9.3649945373729,2.0,9.359245897548185,9.370743177197614,5.609412875498433
9.37649181702233,0.0,9.370743177197614,9.382240456847045,4.984749260242219
