element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 21,wavenumber_cm,ell,wavenumber_source
Ni,2,811.421,,,,12320.67,500,,,,,,,,,,,,,L897,,12320.67,9.419033618725686,wn(cm-1)
Ni,2,809.675,,,,12347.24,1000,,,,,,,,,,,,,L897,,12347.24,9.421187835298973,wn(cm-1)
Ni,2,,,803.354,,12444.39,,1.0e-02,E,10663.89,23108.28,3p6.3d8.(3F).4s,4F,3/2,3p6.3d8.(3P).4s,4P,5/2,M1,T4240,,,12444.39,9.429025197931441,wn(cm-1)
Ni,2,,,769.456,,12992.62,,1.4e-02,E,10115.66,23108.28,3p6.3d8.(3F).4s,4F,5/2,3p6.3d8.(3P).4s,4P,5/2,M1,T4240,,,12992.62,9.472136782937692,wn(cm-1)
Ni,2,,,761.272,,13132.29,,1.8e-01,E,10663.89,23796.18,3p6.3d8.(3F).4s,4F,3/2,3p6.3d8.(1D).4s,2D,3/2,M1,T4240,,,13132.29,9.482829361837897,wn(cm-1)
Ni,2,,,741.161,,13488.63,,3.3e-05,E,1506.94,14995.57,3p6.3d9,2D,3/2,3p6.3d8.(3F).4s,2F,5/2,M1,T4240,,,13488.63,9.509602387335896,wn(cm-1)
Ni,2,,,737.783,,13550.39,,3.7e-04,E,0.00,13550.39,3p6.3d9,2D,5/2,3p6.3d8.(3F).4s,2F,7/2,M1,T4240,,,13550.39,9.514170608181468,wn(cm-1)
Ni,2,,,730.765,,13680.52,,3.8e-01,E,10115.66,23796.18,3p6.3d8.(3F).4s,4F,5/2,3p6.3d8.(1D).4s,2D,3/2,M1,T4240,,,13680.52,9.523728202150021,wn(cm-1)
Ni,2,,,725.582,,13778.24,,1.6e-01,E,9330.04,23108.28,3p6.3d8.(3F).4s,4F,7/2,3p6.3d8.(3P).4s,4P,5/2,M1,T4240,,,13778.24,9.530845815075317,wn(cm-1)
Ni,2,,,710.266,,14075.36,,7.9e-03,E,14995.57,29070.93,3p6.3d8.(3F).4s,2F,5/2,3p6.3d8.(3P).4s,2P,3/2,M1,T4240,,,14075.36,9.552181029945451,wn(cm-1)
Ni,2,,,707.804,,14124.31,,2.7e-02,E,10663.89,24788.20,3p6.3d8.(3F).4s,4F,3/2,3p6.3d8.(3P).4s,4P,3/2,M1,T4240,,,14124.31,9.555652705263942,wn(cm-1)
Ni,2,,,705.420,,14172.04,,5.5e-04,E,10663.89,24835.93,3p6.3d8.(3F).4s,4F,3/2,3p6.3d8.(3P).4s,4P,1/2,M1,T4240,,,14172.04,9.559026288448216,wn(cm-1)
Ni,2,,,695.582,,14372.49,,3.6e-05,E,10663.89,25036.38,3p6.3d8.(3F).4s,4F,3/2,3p6.3d8.(1D).4s,2D,5/2,E2,T4240,,,14372.49,9.573071241724026,wn(cm-1)
Ni,2,,,691.079,,14466.14,,1.2e-03,E,9330.04,23796.18,3p6.3d8.(3F).4s,4F,7/2,3p6.3d8.(1D).4s,2D,3/2,E2,T4240,,,14466.14,9.579566025227734,wn(cm-1)
Ni,2,,,684.842,,14597.89,,2.9e-02,E,14995.57,29593.46,3p6.3d8.(3F).4s,2F,5/2,3p6.3d8.(3P).4s,2P,1/2,E2,T4240,,,14597.89,9.588632276704383,wn(cm-1)
Ni,2,,,681.357,,14672.54,,3.5e-03,E,10115.66,24788.20,3p6.3d8.(3F).4s,4F,5/2,3p6.3d8.(3P).4s,4P,3/2,E2,T4240,,,14672.54,9.593732998617222,wn(cm-1)
Ni,2,,,679.420,,14714.38,,4.6e-03,E,8393.90,23108.28,3p6.3d8.(3F).4s,4F,9/2,3p6.3d8.(3P).4s,4P,5/2,E2,T4240,,,14714.38,9.59658052590292,wn(cm-1)
Ni,2,,,679.148,,14720.27,,4.9e-03,E,10115.66,24835.93,3p6.3d8.(3F).4s,4F,5/2,3p6.3d8.(3P).4s,4P,1/2,E2,T4240,,,14720.27,9.596980734505951,wn(cm-1)
Ni,2,,,670.024,,14920.72,,3.3e-04,E,10115.66,25036.38,3p6.3d8.(3F).4s,4F,5/2,3p6.3d8.(1D).4s,2D,5/2,E2,T4240,,,14920.72,9.610506129966057,wn(cm-1)
Ni,2,,,666.680,,14995.57,,9.8e-02,E,0.00,14995.57,3p6.3d9,2D,5/2,3p6.3d8.(3F).4s,2F,5/2,E2,T4240,,,14995.57,9.615510103131536,wn(cm-1)
Ni,2,,,646.729,,15458.16,,6.2e-03,E,9330.04,24788.20,3p6.3d8.(3F).4s,4F,7/2,3p6.3d8.(3P).4s,4P,3/2,E2,T4240,,,15458.16,9.645892298240756,wn(cm-1)
Ni,2,,,644.129,,15520.54,,3.1e-02,E,13550.39,29070.93,3p6.3d8.(3F).4s,2F,7/2,3p6.3d8.(3P).4s,2P,3/2,E2,T4240,,,15520.54,9.649919586946352,wn(cm-1)
Ni,2,,,636.510,,15706.34,,1.8e-03,E,9330.04,25036.38,3p6.3d8.(3F).4s,4F,7/2,3p6.3d8.(1D).4s,2D,5/2,E2,T4240,,,15706.34,9.66181973147843,wn(cm-1)
Ni,2,,,600.706,,16642.48,,7.4e-03,E,8393.90,25036.38,3p6.3d8.(3F).4s,4F,9/2,3p6.3d8.(1D).4s,2D,5/2,E2,T4240,,,16642.48,9.71971374173161,wn(cm-1)
Ni,2,,,571.141,,17503.96,,5.9e-04,E,14995.57,32499.53,3p6.3d8.(3F).4s,2F,5/2,3p6.3d8.(1G).4s,2G,9/2,E2,T4240,,,17503.96,9.77018242002714,wn(cm-1)
Ni,2,,,570.358,,17527.97,,2.0e-03,E,14995.57,32523.54,3p6.3d8.(3F).4s,2F,5/2,3p6.3d8.(1G).4s,2G,7/2,E2,T4240,,,17527.97,9.7715531697266,wn(cm-1)
Ni,2,,,543.1194,,18407.04,,4.3e-05,E,10663.89,29070.93,3p6.3d8.(3F).4s,4F,3/2,3p6.3d8.(3P).4s,2P,3/2,E2,T4240,,,18407.04,9.820488479116687,wn(cm-1)
