ell,count,edge_lo,edge_hi,baseline
8.553648616080498,1.0,8.548011394454331,8.559285837706664,0.649061908980844
8.56492305933283,0.0,8.559285837706664,8.570560280958995,0.5999703522521601
8.576197502585162,1.0,8.570560280958995,8.581834724211328,0.5519171521266378
8.587471945837494,0.0,8.581834724211328,8.59310916746366,0.5060958966333957
8.598746389089825,0.0,8.59310916746366,8.604383610715992,0.463407178452526
8.610020832342158,0.0,8.604383610715992,8.615658053968325,0.4243690096817191
8.621295275594491,0.0,8.615658053968325,8.626932497220658,0.389083620292629
8.632569718846824,0.0,8.626932497220658,8.638206940472989,0.35726692055438686
8.643844162099155,1.0,8.638206940472989,8.649481383725321,0.3283574278174032
8.655118605351488,0.0,8.649481383725321,8.660755826977654,0.3015972974038267
8.666393048603819,1.0,8.660755826977654,8.672030270229985,0.27619689424563865
8.677667491856152,0.0,8.672030270229985,8.683304713482318,0.25153179594766506
8.688941935108485,1.0,8.683304713482318,8.694579156734651,0.2271634380536043
8.700216378360818,0.0,8.694579156734651,8.705853599986982,0.2029309166822058
8.711490821613149,0.0,8.705853599986982,8.717128043239315,0.17899944241719187
8.722765264865481,0.0,8.717128043239315,8.728402486491648,0.15578690432445025
8.734039708117812,0.0,8.728402486491648,8.739676929743979,0.13393097743409008
8.745314151370145,0.0,8.739676929743979,8.750951372996312,0.1141375809962957
8.756588594622478,0.0,8.750951372996312,8.762225816248645,0.0971861093077947
8.767863037874811,0.0,8.762225816248645,8.773500259500976,0.08380696810043009
8.779137481127142,0.0,8.773500259500976,8.784774702753309,0.07463763294988594
8.790411924379475,0.0,8.784774702753309,8.796049146005641,0.07020527707184769
8.801686367631806,0.0,8.796049146005641,8.807323589257972,0.07085125019231636
8.812960810884139,0.0,8.807323589257972,8.818598032510305,0.07674854968664628
8.824235254136472,0.0,8.818598032510305,8.829872475762638,0.08784694686707227
8.835509697388805,0.0,8.829872475762638,8.84114691901497,0.10389863461248322
8.846784140641136,0.0,8.84114691901497,8.852421362267302,0.12443363885709707
8.858058583893468,0.0,8.852421362267302,8.863695805519635,0.14864487347814256
8.8693330271458,0.0,8.863695805519635,8.874970248771966,0.17561309702290034
8.880607470398132,0.0,8.874970248771966,8.886244692024299,0.2041680501769768
8.891881913650465,0.0,8.886244692024299,8.897519135276632,0.23302073630798267
