k_low,k_high,ratio,rational,rational_error
21.49639855942377,45.9921968787515,2.139530338145366,92/43,4.545575563952298e-06
21.49639855942377,63.48919567827131,2.9534805796777706,127/43,7.792415252616536e-06
21.49639855942377,76.21428571428571,3.545444391701337,39/11,1.0153753208452798e-05
58.11284513805522,76.21428571428571,1.311487770616427,80/61,1.236078036148669e-05
16.660864345738293,76.21428571428571,4.574449688366899,215/47,1.839673948378362e-05
28.367947178871546,34.157863145258105,1.2041006326569477,59/49,1.9000003886437966e-05
43.1608643457383,45.9921968787515,1.0655995327232775,65/61,2.5762231474102393e-05
45.9921968787515,76.21428571428571,1.657113399370946,58/35,2.945777191132315e-05
16.660864345738293,28.367947178871546,1.7026695968584502,63/37,3.3105844252423466e-05
28.367947178871546,63.48919567827131,2.2380609805124734,47/21,3.425758276476287e-05
71.98319327731092,76.21428571428571,1.0587788932990894,18/17,4.463611267535583e-05
38.834333733493395,63.48919567827131,1.6348727935948562,103/63,4.784132577873024e-05
49.459783913565424,58.11284513805522,1.1749514563106795,47/40,4.854368932050157e-05
49.459783913565424,76.21428571428571,1.5409344660194175,94/61,4.914053795945783e-05
38.834333733493395,71.98319327731092,1.8535967108720517,76/41,6.182571331425635e-05
45.9921968787515,49.459783913565424,1.0753951163488769,57/53,7.658176433067432e-05
58.11284513805522,63.48919567827131,1.0925156998843166,59/54,7.689270827593297e-05
28.367947178871546,49.459783913565424,1.7435094475360235,68/39,8.029605372006365e-05
16.660864345738293,21.49639855942377,1.2902330943545774,40/31,8.948629058380675e-05
21.49639855942377,38.834333733493395,1.8065506938821096,56/31,9.9080978883892e-05
45.9921968787515,71.98319327731092,1.5651175234590136,36/23,9.98678453343338e-05
43.1608643457383,49.459783913565424,1.145940533474258,55/48,0.00010720014092480135
38.834333733493395,45.9921968787515,1.1843179078178616,45/38,0.00010738150207223462
16.660864345738293,49.459783913565424,2.96862052815506,95/32,0.00012947184493983244
16.660864345738293,63.48919567827131,3.810678387433801,141/37,0.00013242337701013795
43.1608643457383,76.21428571428571,1.7658192640391621,83/47,0.00013818276934851603
28.367947178871546,58.11284513805522,2.048538964473879,127/62,0.0001518676996856705
16.660864345738293,58.11284513805522,3.487985012789567,143/41,0.00018013474078637515
16.660864345738293,34.157863145258105,2.05018553878301,41/20,0.00018553878301030835
21.49639855942377,71.98319327731092,3.348616424203501,144/43,0.0002207850988247273
34.157863145258105,71.98319327731092,2.1073681620890223,59/28,0.00022530494616512797
21.49639855942377,58.11284513805522,2.7033758690978136,173/64,0.00025086909781357747
16.660864345738293,71.98319327731092,4.320495730806644,229/53,0.0002589861744883848
43.1608643457383,58.11284513805522,1.3464244986510165,35/26,0.0002706524971702873
28.367947178871546,43.1608643457383,1.5214659021180257,35/23,0.00027322831675702375
21.49639855942377,34.157863145258105,1.589003992963449,89/56,0.00028172132226522706
38.834333733493395,76.21428571428571,1.9625490741599432,104/53,0.00028492321654693953
38.834333733493395,43.1608643457383,1.1114099353921296,10/9,0.0002988242810184616
34.157863145258105,49.459783913565424,1.4479765230990913,42/29,0.0002993389698742188
34.157863145258105,45.9921968787515,1.3464600137065739,35/26,0.00030616755272760976
49.459783913565424,63.48919567827131,1.2836529126213592,77/60,0.00031957928802572866
21.49639855942377,28.367947178871546,1.3196604584927258,33/25,0.0003395415072742214
34.157863145258105,38.834333733493395,1.1369075860614686,58/51,0.0003473158993156922
28.367947178871546,45.9921968787515,1.621273354351368,60/37,0.0003482672702537215
16.660864345738293,43.1608643457383,2.590553734193177,57/22,0.0003553567159140236
28.367947178871546,76.21428571428571,2.6866337995387317,137/51,0.0003592897348103641
16.660864345738293,45.9921968787515,2.760492848650791,127/46,0.0003767165665999883
45.9921968787515,58.11284513805522,1.2635370580635057,24/19,0.00037916332666365626
43.1608643457383,63.48919567827131,1.4709899034851055,25/17,0.0004016681909877473
34.157863145258105,43.1608643457383,1.263570386771399,24/19,0.00041249203455695493
63.48919567827131,76.21428571428571,1.2004292210677583,6/5,0.00042922106775833413
45.9921968787515,63.48919567827131,1.3804340733200213,69/50,0.00043407332002143306
28.367947178871546,71.98319327731092,2.537483337212501,137/54,0.0004463001754637652
58.11284513805522,71.98319327731092,1.2386795570980003,57/46,0.0004508776846083862
34.157863145258105,58.11284513805522,1.701302124518952,97/57,0.0004522614459603336
63.48919567827131,71.98319327731092,1.1337865050627285,17/15,0.00045317172939518535
34.157863145258105,76.21428571428571,2.231236930430351,29/13,0.0004676996611201467
28.367947178871546,38.834333733493395,1.3689511436490975,26/19,0.0005300910175185525
38.834333733493395,49.459783913565424,1.2736096942718478,79/62,0.0005838541152489718
34.157863145258105,63.48919567827131,1.8586992812834975,119/64,0.0006757187165025158
21.49639855942377,49.459783913565424,2.300840476921788,145/63,0.000746824665513568
49.459783913565424,71.98319327731092,1.455388349514563,83/57,0.0007520013626300948
43.1608643457383,71.98319327731092,1.667788501654938,5/3,0.0011218349882713419
16.660864345738293,38.834333733493395,2.3308714918759232,7/3,0.002461841457410241
38.834333733493395,58.11284513805522,1.4964295650561068,3/2,0.003570434943893197
21.49639855942377,43.1608643457383,2.0078183899701227,129/64,0.007806610029877259
