"element","sp_num","obs_wl_air(nm)","unc_obs_wl","ritz_wl_air(nm)","unc_ritz_wl","wn(cm-1)","intens","Aki(s^-1)","Acc","Ei(cm-1)","Ek(cm-1)","conf_i","term_i","J_i","conf_k","term_k","J_k","Type","tp_ref","line_ref","","wavenumber_cm","ell","wavenumber_source"
"Fe","2","494.37023","0.00012","494.37043","0.00003","20222.111","340bl(Fe II)*","","","61512.630","81734.733","3d6.(3H).4p","z 4I*","9/2","3d5.4s2","2F2","7/2","","","L18349c148","",20222.111,9.91453188870759,"wn(cm-1)"
"Fe","2","494.2169","0.0002","494.216800","0.000022","20228.383","50","2.7e+06","D+","83136.508","103364.897","3d6.(5D).4d","e 6F","7/2","3d6.(5D<3>).4f","2[3]*","5/2","","T6892c83","L18349c139","",20228.383,9.91484199617131,"wn(cm-1)"
"Fe","2","493.70719","0.00016","493.706987","0.000025","20249.269","80","1.4e+06","D+","83136.508","103385.785","3d6.(5D).4d","e 6F","7/2","3d6.(5D<3>).4f","2[3]*","7/2","","T6892c83","L18349c139","",20249.269,9.91587397311768,"wn(cm-1)"
"Fe","2","493.70367","0.00019","493.70391","0.00006","20249.413","210","","","57493.333","77742.736","3d5.4s2","d 4P","3/2","3d6.(1D2).4p","v 2F*","5/2","","","L18349c139","",20249.413,9.91588108446021,"wn(cm-1)"
"Fe","2","493.5373","0.0005","493.537494","0.000020","20256.239","25","3.6e+05","D+","83713.583","103969.814","3d6.(5D).4d","6D","7/2","3d6.(5D<1>).4f","2[3]*","7/2","","T6892c83","L18349c139","",20256.239,9.91621812384744,"wn(cm-1)"
"Fe","2","492.9668","0.0004","492.96711","0.00004","20279.681","8","","","94700.415","114980.083","3d6.(3F1).4p","2D*","5/2","3d6.(5D).6d","6P","7/2","","","L18349c139","",20279.681,9.91737472779837,"wn(cm-1)"
"Fe","2","492.6523","0.0004","492.652027","0.000022","20292.628","25","","","86416.370","106709.008","3d6.(5D).4d","e 4F","7/2","3d6.(5D).6p","4F*","9/2","","","L18349c139","",20292.628,9.91801294636461,"wn(cm-1)"
"Fe","2","492.4298","0.0004","492.43013","0.00003","20301.796","4bl(Fe I)","","","104119.740","124421.522","3d6.(3H).4d","2K","15/2","3d6.(3F2<4>).4f","2[7]*","15/2","","","L18349c139","",20301.796,9.91846463402279,"wn(cm-1)"
"Fe","2","492.39216","0.00002","492.392123","0.000020","20303.3477","5000","4.3e+06","C","23317.6351","43620.9842","3d5.4s2","a 6S","5/2","3d6.(5D).4p","z 6P*","3/2","","T7589","L18349c139","",20303.3477,9.91854106276355,"wn(cm-1)"
"Fe","2","492.31542","0.00019","492.31572","0.00004","20306.513","180","","","61332.753","81639.253","3d6.(3P2).4p","y 4P*","3/2","3d5.4s2","2F2","5/2","","","L18349c139","",20306.513,9.91869695101098,"wn(cm-1)"
"Fe","2","492.21869","0.00008","492.21932","0.00003","20310.503","180","8.e+06","D+","83558.569","103869.046","3d6.(5D).4d","e 6F","1/2","3d6.(5D<1>).4f","2[2]*","3/2","","T6892c83","L18349c145","",20310.503,9.91889342039282,"wn(cm-1)"
"Fe","2","491.32951","0.00002","491.329562","0.000024","20347.2591","1300","2.58e+07","B+","82978.717","103325.974","3d6.(5D).4d","e 6F","9/2","3d6.(5D<3>).4f","2[5]*","11/2","","T6892c83","L18349c139","",20347.2591,9.92070149383881,"wn(cm-1)"
"Fe","2","491.3184","0.0003","491.318189","0.000022","20347.720","50","1.9e+06","D+","82978.717","103326.445","3d6.(5D).4d","e 6F","9/2","3d6.(5D<3>).4f","2[4]*","9/2","","T6892c83","L18349c139","",20347.72,9.92072414528183,"wn(cm-1)"
"Fe","2","491.1957","0.0003","491.195821","0.000022","20352.801","40","1.1e+06","D+","83308.241","103661.038","3d6.(5D).4d","e 6F","5/2","3d6.(5D<2>).4f","2[2]*","5/2","","T6892c83","L18349c139","",20352.801,9.92097382267669,"wn(cm-1)"
"Fe","2","490.81454","0.00003","490.814553","0.000024","20368.6074","600","1.85e+07","C+","83308.241","103676.848","3d6.(5D).4d","e 6F","5/2","3d6.(5D<2>).4f","2[3]*","7/2","","T6892c83","L18349c139","",20368.6074,9.92175014164084,"wn(cm-1)"
"Fe","2","490.6837","0.0006","490.684488","0.000024","20374.04","26","6.7e+05","D+","82978.717","103352.723","3d6.(5D).4d","e 6F","9/2","3d6.(5D<3>).4f","2[5]*","9/2","","T6892c83","L18349c139","",20374.04,9.92201682043463,"wn(cm-1)"
"Fe","2","490.5351","","490.53514","0.00003","20380.21",":","2.19e-01","C+","2430.1369","22810.3459","3d7","a 4F","7/2","3d6.(3F2).4s","b 4F","7/2","E2","T9588,T10588c104","L22747,L22760","",20380.21,9.92231961094345,"wn(cm-1)"
"Fe","2","490.10537","0.00009","490.10530","0.00003","20398.080","130","5.6e+06","D+","83459.721","103857.804","3d6.(5D).4d","e 6F","3/2","3d6.(5D<1>).4f","2[2]*","5/2","","T6892c83","L18349c139","",20398.08,9.92319605775591,"wn(cm-1)"
"Fe","2","","","489.86035","0.00006","20408.2825","","1.15e+00","C+","15844.6485","36252.931","3d7","a 2G","9/2","3d6.(3D).4s","b 2D","5/2","E2","T8961","","",20408.2825,9.92369610233658,"wn(cm-1)"
"Fe","2","489.64381","0.00006","489.64347","0.00003","20417.308","25bl(Fe I)","","","102584.984","123002.306","3d6.(3G).5s","f 4G","11/2","3d6.(3H<6>).4f","2[5]*","11/2","","","L18349c139","",20417.308,9.92413825149041,"wn(cm-1)"
"Fe","2","489.3780","0.0015","489.381278","0.000017","20428.40","20","2.5e+03","E","22810.3459","43238.6066","3d6.(3F2).4s","b 4F","7/2","3d6.(5D).4p","z 6P*","5/2","","T6892c83","L7357","",20428.4,9.92468136854313,"wn(cm-1)"
"Fe","2","488.9623","","488.962268","0.000019","20445.76",":","4.17e-01","C+","384.7872","20830.5534","3d6.(5D).4s","a 6D","7/2","3d6.(3P2).4s","b 4P","5/2","M1","T9588,T10588c104","L22760","",20445.76,9.92553080501076,"wn(cm-1)"
"Fe","2","488.3926","0.0012","488.3920","0.0010","20469.61","11","","","87636.30","108105.938","3d5.(4P).4s.4p.(3P*)","6D*","1/2","3d6.(3F2).4d","2P","3/2","","","L18349c139","",20469.61,9.92669662620222,"wn(cm-1)"
"Fe","2","488.32923","0.00004","488.32924","0.00003","20472.2702","310","5.8e+06","C+","82853.704","103325.974","3d6.(5D).4d","e 6F","11/2","3d6.(5D<3>).4f","2[5]*","11/2","","T6892c83","L18349c139","",20472.2702,9.92682657626757,"wn(cm-1)"
"Fe","2","488.31840","0.00016","488.318004","0.000024","20472.725","70","1.7e+06","D+","82853.704","103326.445","3d6.(5D).4d","e 6F","11/2","3d6.(5D<3>).4f","2[4]*","9/2","","T6892c83","L18349c139","",20472.725,9.92684879143686,"wn(cm-1)"
"Fe","2","488.08709","0.00008","488.08710","0.00003","20482.427","400","","","61156.827","81639.253","3d6.(3H).4p","z 4H*","7/2","3d5.4s2","2F2","5/2","","","L18349c139","",20482.427,9.92732257799156,"wn(cm-1)"
