element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Cr,1,"=""598.1852""","=""0.0006""","=""598.18466""","=""0.00007""","=""16712.601""","=""2""","=""""",,"=""25548.6093""","=""42261.2258""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""5""","=""3d5.(6S).4d""","=""e 7D""","=""5""",,"=""""","=""L14866""",
Cr,1,"=""598.2872""","=""0.0003""","=""598.28723""","=""0.00006""","=""16709.752""","=""7""","=""""",,"=""25548.6093""","=""42258.3607""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""5""","=""3d5.(6S).4d""","=""e 7D""","=""4""",,"=""""","=""L14866""",
Cr,1,"=""598.322""","=""0.004""","=""598.3281""","=""0.0014""","=""16708.78""","=""20""","=""""",,"=""48042.7187""","=""64751.33""","=""""","=""*""","=""4""","=""3d4.4s.5s""","=""e 5H""","=""4""",,"=""""","=""L808""",
Cr,2,"=""598.92154""","=""0.00014""","=""598.92152""","=""0.00005""","=""16692.054""","=""6""","=""""",,"=""49564.5038""","=""66256.5589""","=""3d4.(5D).4p""","=""z 6D*""","=""3/2""","=""3d3.4s2""","=""d 4P""","=""5/2""",,"=""""","=""L18847""",
Cr,1,"=""599.120""","=""0.004""","=""599.11469""","=""0.00004""","=""16686.53""","=""10""","=""""",,"=""27382.1739""","=""44068.8470""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7D*""","=""2""","=""3d5.(6S).4d""","=""e 5D""","=""3""",,"=""""","=""L808""",
Cr,1,"=""599.231""","=""0.004""","=""599.2287""","=""0.0011""","=""16683.43""","=""15""","=""""",,"=""37244.011""","=""53927.51""","=""3d5.(2G2).4s""","=""c 3G""","=""4""","=""3d3.(4F).4s2.4p""","=""v 3G*""","=""4""",,"=""""","=""L808""",
Cr,1,"=""599.809""","=""0.004""","=""599.80901""","=""0.00003""","=""16667.36""","=""15""","=""""",,"=""24303.9025""","=""40971.2599""","=""3d5.(4D).4s""","=""b 5D""","=""3""","=""3d4.(5D).4s.4p.(1P*)""","=""y 5F*""","=""2""",,"=""""","=""L808""",
Cr,1,"=""599.891""","=""0.004""","=""599.89903""","=""0.00008""","=""16665.08""","=""1""","=""""",,"=""31377.8624""","=""48042.7187""","=""3d5.(4F).4s""","=""a 5F""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L808""",
Cr,1,"=""599.997""","=""0.004""","=""600.00399""","=""0.00007""","=""16662.14""","=""7""","=""""",,"=""27597.2409""","=""44259.182""","=""3d4.4s2""","=""b 3G""","=""3""","=""3d5.(6S).5p""","=""w 5P*""","=""3""",,"=""""","=""L808""",
Cr,2,"=""600.12756""","=""0.00015""","=""600.12747""","=""0.00005""","=""16658.510""","=""5""","=""""",,"=""49351.7336""","=""66010.2463""","=""3d4.(5D).4p""","=""z 6D*""","=""5/2""","=""3d3.4s2""","=""d 4P""","=""3/2""",,"=""""","=""L18847""",
Cr,1,"=""600.457""","=""0.007""","=""600.45515""","=""0.00008""","=""16649.37""","=""10*""","=""""",,"=""31393.2968""","=""48042.7187""","=""3d5.(4F).4s""","=""a 5F""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L808""",
Cr,1,"=""600.457""","=""0.007""","=""600.45897""","=""0.00014""","=""16649.37""","=""10*""","=""""",,"=""27597.2409""","=""44246.557""","=""3d4.4s2""","=""b 3G""","=""3""","=""3d4.(3H).4s.4p.(3P*)""","=""z 5I*""","=""4""",,"=""""","=""L808""",
Cr,1,"=""600.457""","=""0.007""","=""600.4612""","=""0.0011""","=""16649.37""","=""10*""","=""""",,"=""31986.786""","=""48636.0405""","=""3d4.4s2""","=""a 1G""","=""4""","=""3d4.(3F1).4s.4p.(3P*)""","=""3F*""","=""3""",,"=""""","=""L808""",
Cr,1,"=""600.6279""","=""0.0003""","=""600.62794""","=""0.00008""","=""16644.633""","=""4""","=""""",,"=""31047.9572""","=""47692.5894""","=""3d5.(2I).4s""","=""a 3I""","=""7""","=""3d4.(3H).4s.4p.(3P*)""","=""z 3I*""","=""7""",,"=""""","=""L14866""",
Cr,1,"=""600.661""","=""0.004""","=""600.66041""","=""0.00003""","=""16643.72""","=""1""","=""""",,"=""24286.5418""","=""40930.2744""","=""3d5.(4D).4s""","=""b 5D""","=""1""","=""3d4.(5D).4s.4p.(1P*)""","=""x 5P*""","=""1""",,"=""""","=""L808""",
