element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ni,2,"=""811.421""","=""""","=""""","=""""","=""12320.67""","=""500""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L897""",
Ni,2,"=""812.148""","=""""","=""""","=""""","=""12309.64""","=""700""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L897""",
Ni,1,"=""""","=""""","=""819.4531""","=""""","=""12199.907""","=""""","=""2.4e-02""",E,"=""3409.937""","=""15609.844""","=""3d9.(2D).4s""","=""1D""","=""2""","=""3d8.(3P).4s2""","=""3P""","=""2""",E2,"=""T848""","=""""",
Ni,1,"=""""","=""""","=""820.1741""","=""""","=""12189.183""","=""""","=""3.9e-01""",D,"=""1332.164""","=""13521.347""","=""3d8.(3F).4s2""","=""3F""","=""3""","=""3d8.(1D).4s2""","=""1D""","=""2""",M1,"=""T848""","=""""",
Ni,1,"=""""","=""""","=""820.1741""","=""""","=""12189.183""","=""""","=""7.6e-04""",E,"=""1332.164""","=""13521.347""","=""3d8.(3F).4s2""","=""3F""","=""3""","=""3d8.(1D).4s2""","=""1D""","=""2""",E2,"=""T848""","=""""",
Ni,2,"=""""","=""""","=""830.099""","=""""","=""12043.45""","=""""","=""1.3e-02""",E,"=""1506.94""","=""13550.39""","=""3p6.3d9""","=""2D""","=""3/2""","=""3p6.3d8.(3F).4s""","=""2F""","=""7/2""",E2,"=""T4240""","=""""",
Ni,18,"=""""","=""""","=""833""","=""""","=""12000""","=""""","=""1.3e-02""",D,"=""2426100""","=""2438100""","=""2p6.4p""","=""2P*""","=""1/2""","=""2p6.4p""","=""2P*""","=""3/2""",E2,"=""T2170""","=""""",
Ni,1,"=""""","=""""","=""846.6322""","=""""","=""11808.260""","=""""","=""4.5e-04""",E,"=""1713.087""","=""13521.347""","=""3d9.(2D).4s""","=""3D""","=""1""","=""3d8.(1D).4s2""","=""1D""","=""2""",E2,"=""T848""","=""""",
Ni,3,"=""""","=""""","=""849.96""","=""""","=""11762.0""","=""""","=""2.1e-01""",E,"=""2269.6""","=""14031.6""","=""3p6.3d8""","=""3F""","=""2""","=""3p6.3d8""","=""1D""","=""2""",M1,"=""T493""","=""""",
Ni,3,"=""""","=""""","=""849.96""","=""""","=""11762.0""","=""""","=""1.9e-04""",E,"=""2269.6""","=""14031.6""","=""3p6.3d8""","=""3F""","=""2""","=""3p6.3d8""","=""1D""","=""2""",E2,"=""T493""","=""""",
Ni,14,"=""""","=""""","=""869""","=""4""","=""11500""","=""""","=""1.14e+01""",C+,"=""85126.7""","=""96630+x""","=""3s2.3p3""","=""2P*""","=""1/2""","=""3s2.3p3""","=""2P*""","=""3/2""",M1,"=""T4634""","=""""",
Ni,14,"=""""","=""""","=""869""","=""4""","=""11500""","=""""","=""2.6e-04""",E,"=""85126.7""","=""96630+x""","=""3s2.3p3""","=""2P*""","=""1/2""","=""3s2.3p3""","=""2P*""","=""3/2""",E2,"=""T4634""","=""""",
Ni,2,"=""""","=""""","=""870.387""","=""""","=""11485.99""","=""""","=""8.9e-02""",E,"=""13550.39""","=""25036.38""","=""3p6.3d8.(3F).4s""","=""2F""","=""7/2""","=""3p6.3d8.(1D).4s""","=""2D""","=""5/2""",M1,"=""T4240""","=""""",
Ni,2,"=""""","=""""","=""870.387""","=""""","=""11485.99""","=""""","=""4.3e-05""",E,"=""13550.39""","=""25036.38""","=""3p6.3d8.(3F).4s""","=""2F""","=""7/2""","=""3p6.3d8.(1D).4s""","=""2D""","=""5/2""",E2,"=""T4240""","=""""",
Ni,1,"=""880.942""","=""""","=""""","=""""","=""11348.37""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Ni,1,"=""""","=""""","=""883.2353""","=""""","=""11318.903""","=""""","=""3.1e-01""",E,"=""3409.937""","=""14728.840""","=""3d9.(2D).4s""","=""1D""","=""2""","=""3d10""","=""1S""","=""0""",E2,"=""T848""","=""""",
Ni,1,"=""""","=""""","=""884.3374""","=""""","=""11304.797""","=""""","=""1.7e-01""",D,"=""2216.550""","=""13521.347""","=""3d8.(3F).4s2""","=""3F""","=""2""","=""3d8.(1D).4s2""","=""1D""","=""2""",M1,"=""T848""","=""""",
