element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ti,2,"=""204.117""","=""""","=""204.116162""","=""0.000013""","=""48975.9""","=""0:""","=""""",,"=""34543.3799""","=""83519.365""","=""3d2.(3F).4p""","=""z 2G*""","=""7/2""","=""3d2.(3F).6s""","=""2F""","=""7/2""",,"=""""","=""L5432""",
Ti,2,"=""204.146883""","=""0.000017""","=""204.146911""","=""0.000010""","=""48968.616""","=""24""","=""""",,"=""4628.6571""","=""53597.2664""","=""3d2.(3F).4s""","=""a 2F""","=""5/2""","=""3d.(2D).4s.4p.(3P*)""","=""w 2D*""","=""3/2""",,"=""""","=""u37""",
Ti,1,"=""204.31073""","=""0.00017""","=""204.31082""","=""0.00005""","=""48929.35""","=""5""","=""""",,"=""170.1328""","=""49099.463""","=""3d2.4s2""","=""a 3F""","=""3""","=""3d2.4s.(2F).5p""","=""3D*""","=""2""",,"=""""","=""L10989""",
Ti,2,"=""204.324""","=""""","=""204.323333""","=""0.000010""","=""48926.2""","=""4:""","=""""",,"=""4628.6571""","=""53554.9903""","=""3d2.(3F).4s""","=""a 2F""","=""5/2""","=""3d.(2D).4s.4p.(3P*)""","=""w 2D*""","=""5/2""",,"=""""","=""L5432""",
Ti,5,"=""204.5858""","=""""","=""204.586+""","=""""","=""48863.57""","=""4""","=""""",,"=""440065.2""","=""488928.7""","=""3s2.3p5.4s""","=""3P*""","=""0""","=""3s.3p6.3d""","=""3D""","=""1""",,"=""""","=""L3693""",
Ti,2,"=""204.974782""","=""0.000017""","=""204.974775""","=""0.000013""","=""48770.857""","=""28""","=""""",,"=""34748.5062""","=""83519.365""","=""3d2.(3F).4p""","=""z 2G*""","=""9/2""","=""3d2.(3F).6s""","=""2F""","=""7/2""",,"=""""","=""u37""",
Ti,1,"=""205.00592""","=""0.00017""","=""205.00590""","=""0.00005""","=""48763.45""","=""5""","=""""",,"=""386.874""","=""49150.329""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d2.4s.(2F).5p""","=""3D*""","=""3""",,"=""""","=""L10989""",
Ti,2,"=""205.032095""","=""0.000009""","=""205.032094""","=""0.000009""","=""48757.226""","=""152""","=""""",,"=""25192.9650""","=""73950.1912""","=""3d.4s2""","=""c 2D""","=""5/2""","=""3d2.(3F).5p""","=""2D*""","=""3/2""",,"=""""","=""u37""",
Ti,2,"=""205.14445""","=""0.00011""","=""205.144516""","=""0.000008""","=""48730.53""","=""4""","=""""",,"=""20891.7898""","=""69622.3000""","=""3d3""","=""b 2F""","=""7/2""","=""3d.(2D).4s.4p.(1P*)""","=""v 2D*""","=""5/2""",,"=""""","=""u37""",
Ti,2,"=""205.264881""","=""0.000017""","=""205.264897""","=""0.000017""","=""48701.939""","=""24""","=""""",,"=""34543.3799""","=""83245.315""","=""3d2.(3F).4p""","=""z 2G*""","=""7/2""","=""3d2.(3F).6s""","=""2F""","=""5/2""",,"=""""","=""u37""",
Ti,2,"=""205.412893""","=""0.000009""","=""205.412889""","=""0.000010""","=""48666.851""","=""89""","=""""",,"=""24961.1910""","=""73628.043""","=""3d.4s2""","=""c 2D""","=""3/2""","=""3d.(2D).4s.4p.(1P*)""","=""2P*""","=""1/2""",,"=""""","=""u37""",
Ti,2,"=""205.453333""","=""0.000014""","=""205.453336""","=""0.000008""","=""48657.273""","=""36""","=""""",,"=""4897.7179""","=""53554.9903""","=""3d2.(3F).4s""","=""a 2F""","=""7/2""","=""3d.(2D).4s.4p.(3P*)""","=""w 2D*""","=""5/2""",,"=""""","=""u37""",
Ti,2,"=""205.662442""","=""0.000009""","=""205.662448""","=""0.000009""","=""48607.807""","=""235""","=""""",,"=""25192.9650""","=""73800.7705""","=""3d.4s2""","=""c 2D""","=""5/2""","=""3d2.(3F).5p""","=""2F*""","=""7/2""",,"=""""","=""u37""",
